,MarketAndNewspaper,CSDs,Market,Year
806,frontenac gazette,['South Frontenac'],frontenac,2017
1037,in port news,['Port Colborne'],port%20colborne,2013
1038,in port news,['Port Colborne'],port%20colborne,2013
1039,in port news,['Port Colborne'],port%20colborne,2014
1040,in port news,['Port Colborne'],port%20colborne,2014
1041,in port news,['Port Colborne'],port%20colborne,2015
1042,in port news,['Port Colborne'],port%20colborne,2015
1043,in port news,['Port Colborne'],port%20colborne,2016
1044,in port news,['Port Colborne'],port%20colborne,2016
1045,in port news,['Port Colborne'],port%20colborne,2017
1046,in port news,['Port Colborne'],port%20colborne,2017
1076,kanata kourier standard,['Ottawa'],kanata,2013
1077,kanata kourier standard,['Ottawa'],kanata,2014
1078,kanata kourier standard,['Ottawa'],kanata,2015
1079,kanata kourier standard,['Ottawa'],kanata,2016
1080,kanata kourier standard,['Ottawa'],kanata,2017
1206,kingston heritage,['Kingston'],kingston,2013
1207,kingston heritage,['Kingston'],kingston,2014
1208,kingston heritage,['Kingston'],kingston,2015
1209,kingston heritage,['Kingston'],kingston,2016
1210,kingston heritage,['Kingston'],kingston,2017
1388,meaford express,['Meaford'],meaford,2013
1389,meaford express,['Meaford'],meaford,2014
1390,meaford express,['Meaford'],meaford,2015
1391,meaford express,['Meaford'],meaford,2016
1392,meaford express,['Meaford'],meaford,2017
1520,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2013
1521,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2014
1522,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2015
1523,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2016
1524,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2017
1573,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2013
1574,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2013
1575,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2014
1576,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2015
1577,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2016
1578,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2017
1620,norfolk news,['Norfolk County'],norfolk,2014
1621,norfolk news,['Norfolk County'],norfolk,2015
1622,norfolk news,['Norfolk County'],norfolk,2016
1623,norfolk news,['Norfolk County'],norfolk,2017
1656,northumberland today,"['Cramahe', 'Port Hope', 'Alnwick/Haldimand', 'Cobourg']",northumberland&cobourg&port%20hope&colborne,2013
1657,northumberland today,"['Cramahe', 'Port Hope', 'Alnwick/Haldimand', 'Cobourg']",northumberland&cobourg&port%20hope&colborne,2013
1658,northumberland today,"['Cramahe', 'Port Hope', 'Alnwick/Haldimand', 'Cobourg']",northumberland&cobourg&port%20hope&colborne,2013
1659,northumberland today,"['Cramahe', 'Port Hope', 'Alnwick/Haldimand', 'Cobourg']",northumberland&cobourg&port%20hope&colborne,2013
