,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,MarketAndNewspaper,CSDs,ID,Swap2017Affected,first_year,equal_to_previous
10,,Wednesday,B,2016,flesherton,advance,dundalk herald publishing,1299.0,ON,1299.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",,,,,,0.0,flesherton,flesherton advance,['Grey Highlands'],2,0,2013,False
11,,Wednesday,B,2017,flesherton,advance,dundalk herald publishing,1221.0,ON,1221.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",,,,,,0.0,flesherton,flesherton advance,['Grey Highlands'],2,0,2013,False
12,,Wednesday,B,2018,flesherton,advance,dundalk herald publishing,1233.0,ON,1233.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,flesherton advance,['Grey Highlands'],2,0,2013,False
13,,Wednesday,B,2019,flesherton,advance,dundalk herald publishing,1347.0,ON,1347.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,flesherton advance,['Grey Highlands'],2,0,2013,False
14,0.0,Thursday,T,2013,woodbridge,advertiser,beverley and karl mallette,2750.0,ON,2750.0,beverley and karl mallette,"['woodbridge ,ON, Canada']",306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0,"[(43.7848982, -79.5923855)]",advertiser,,,,,0.0,woodbridge,woodbridge advertiser,['Vaughan'],3,0,2013,False
15,,Thursday,T,2014,woodbridge,advertiser,beverley and karl mallette,,ON,,beverley and karl mallette,"['woodbridge ,ON, Canada']",306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0,"[(43.7848982, -79.5923855)]",,,,,,0.0,woodbridge,woodbridge advertiser,['Vaughan'],3,0,2013,True
16,32.0,Wednesday,T,2013,mitchell,advocate,sun media corporation,2062.0,ON,2094.0,sun media corporation,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,mitchell advocate,['West Perth'],4,0,2013,False
17,23.0,Wednesday,T,2014,mitchell,advocate,sun media corporation,2036.0,ON,2059.0,sun media corporation,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",,,,,,0.0,mitchell,mitchell advocate,['West Perth'],4,0,2013,False
18,22.0,Wednesday,T,2015,mitchell,advocate,sun media corporation,1977.0,ON,1999.0,sun media corporation,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",,,,,,0.0,mitchell,mitchell advocate,['West Perth'],4,0,2013,False
19,29.0,Wednesday,T,2016,mitchell,advocate,sun media corporation,1841.0,ON,1870.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",,,,,,0.0,mitchell,mitchell advocate,['West Perth'],4,0,2013,False
