,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,MarketAndNewspaper,CSDs,ID,Swap2017Affected,first_year,equal_to_previous
521,,Tuesday,B,2015,collingwood,enterprise bulletin,sun media corporation,,ON,,sun media corporation,"['collingwood ,ON, Canada']",21793.0,19241.0,13.3,11617.0,9556.0,645.1,33.78,46.3,18025.0,3045.0,5405.0,9575.0,440.0,3865.0,18025.0,17660.0,32215.0,21145.0,18530.0,2520.0,"[(44.5027226, -80.2172379)]",enterprise bulletin,,,,,1.0,collingwood,collingwood enterprise bulletin,['Collingwood'],97,1,2013,True
522,,Tuesday,B,2016,collingwood,enterprise bulletin,sun media corporation,,ON,,postmedia network inc.,"['collingwood ,ON, Canada']",21793.0,19241.0,13.3,11617.0,9556.0,645.1,33.78,46.3,18025.0,3045.0,5405.0,9575.0,440.0,3865.0,18025.0,17660.0,32215.0,21145.0,18530.0,2520.0,"[(44.5027226, -80.2172379)]",enterprise bulletin,,,,,1.0,collingwood,collingwood enterprise bulletin,['Collingwood'],97,1,2013,True
523,20000.0,Thursday,B,2015,toronto,epoch times,epoch times media inc.,0.0,ON,20000.0,epoch times media inc.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",,,,,,0.0,toronto,toronto epoch times,['Toronto'],98,0,2015,False
524,,Thursday,B,2016,toronto,epoch times,epoch times media inc.,,ON,,epoch times media inc.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",,,,,,0.0,toronto,toronto epoch times,['Toronto'],98,0,2015,True
525,,Thursday,B,2017,toronto,epoch times,epoch times media inc.,,ON,,epoch times media inc.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",,,,,,0.0,toronto,toronto epoch times,['Toronto'],98,0,2015,True
526,50500.0,Thursday,B,2018,toronto,epoch times,epoch times media inc.,,ON,50500.0,epoch times media inc.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",epoch times,,,,,0.0,toronto,toronto epoch times,['Toronto'],98,0,2015,False
527,17950.0,Thursday,B,2019,toronto,epoch times,epoch times media inc.,50.0,ON,18000.0,epoch times media inc.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",epoch times,,,,,0.0,toronto,toronto epoch times,['Toronto'],98,0,2015,False
528,42102.0,Sunday,T,2014,newmarket&aurora,era banner,metroland media group ltd.,0.0,ON,42102.0,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",99,0,2014,False
529,58366.0,Sunday,T,2015,newmarket&aurora,era banner,metroland media group ltd.,,ON,58366.0,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",99,0,2014,False
530,,Sunday,T,2017,newmarket&aurora,era banner,metroland media group ltd.,,ON,,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",99,0,2014,True
531,,Sunday,T,2018,newmarket&aurora,era banner,metroland media group ltd.,,ON,,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",99,0,2014,True
532,26518.0,Thursday,B,2014,newmarket&aurora,era banner,metroland media group ltd.,0.0,ON,26518.0,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",100,0,2014,False
533,43528.0,Thursday,B,2015,newmarket&aurora,era banner,metroland media group ltd.,,ON,43528.0,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",100,0,2014,False
534,15946.0,Thursday,B,2017,newmarket&aurora,era banner,metroland media group ltd.,,ON,15946.0,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",100,0,2014,False
535,,Thursday,B,2018,newmarket&aurora,era banner,metroland media group ltd.,,ON,,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",100,0,2014,True
536,42319.0,Thursday,B,2019,newmarket&aurora,era banner,metroland media group ltd.,,ON,42319.0,metroland media group ltd.,"['newmarket ,ON, Canada', 'aurora ,ON, Canada']",69834.5,66590.5,4.75,24348.0,23762.0,1651.4,44.15,39.65,56387.5,7952.5,15132.5,33302.5,1525.0,16922.5,56387.5,53920.0,38289.5,68715.0,48352.5,19872.5,"[(44.056258, -79.461708), (43.99973, -79.467545)]",era banner,,,,,0.0,newmarket aurora,newmarket aurora era banner,"['Newmarket', 'Aurora']",100,0,2014,False
537,10099.0,Thursday,T,2013,essex,essex free press,london publishing corporation,43.0,ON,10142.0,london publishing corporation,"['essex ,ON, Canada']",,,,,,,,,,,,,,,,,,,,,"[(41.875, -82.492891325)]",,,,,,0.0,essex,essex free press,[''],101,0,2013,False
538,9955.0,Thursday,T,2014,essex,essex free press,london publishing corporation,0.0,ON,9955.0,london publishing corporation,"['essex ,ON, Canada']",,,,,,,,,,,,,,,,,,,,,"[(41.875, -82.492891325)]",,,,,,0.0,essex,essex free press,[''],101,0,2013,False
539,10016.0,Thursday,T,2015,essex,essex free press,london publishing corporation,,ON,10016.0,london publishing corporation,"['essex ,ON, Canada']",,,,,,,,,,,,,,,,,,,,,"[(41.875, -82.492891325)]",,,,,,0.0,essex,essex free press,[''],101,0,2013,False
540,9975.0,Thursday,T,2016,essex,essex free press,london publishing corporation,,ON,9975.0,london publishing corporation,"['essex ,ON, Canada']",,,,,,,,,,,,,,,,,,,,,"[(41.875, -82.492891325)]",,,,,,0.0,essex,essex free press,[''],101,0,2013,False
541,9900.0,Thursday,T,2017,essex,essex free press,london publishing corporation,,ON,9900.0,london publishing corporation,"['essex ,ON, Canada']",,,,,,,,,,,,,,,,,,,,,"[(41.875, -82.492891325)]",,,,,,0.0,essex,essex free press,[''],101,0,2013,False
542,9934.0,Thursday,T,2018,essex,essex free press,london publishing corporation,,ON,9934.0,london publishing corporation,"['essex ,ON, Canada']",,,,,,,,,,,,,,,,,,,,,"[(41.875, -82.492891325)]",,,,,,0.0,essex,essex free press,[''],101,0,2013,False
543,9941.0,Thursday,T,2019,essex,essex free press,london publishing corporation,,ON,9941.0,london publishing corporation,"['essex ,ON, Canada']",,,,,,,,,,,,,,,,,,,,,"[(41.875, -82.492891325)]",,,,,,0.0,essex,essex free press,[''],101,0,2013,False
544,5000.0,Tuesday,T,2013,toronto,etc...news,etc...news,0.0,ON,5000.0,etc...news,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",,,,,,0.0,toronto,toronto etc...news,['Toronto'],102,0,2013,False
545,69076.0,Friday,T,2013,etobicoke,etobicoke guardian,metroland media group ltd.,0.0,ON,69076.0,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],103,0,2013,False
546,68896.0,Friday,T,2014,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,68896.0,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],103,0,2013,False
547,,Friday,T,2015,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],103,0,2013,True
548,,Friday,T,2016,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],103,0,2013,True
549,69376.0,Thursday,T,2013,etobicoke,etobicoke guardian,metroland media group ltd.,0.0,ON,69376.0,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],104,0,2013,False
550,68897.0,Thursday,T,2014,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,68897.0,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],104,0,2013,False
551,73755.0,Thursday,T,2015,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,73755.0,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],104,0,2013,False
552,70703.0,Thursday,T,2016,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,70703.0,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],104,0,2013,False
553,,Thursday,T,2017,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],104,0,2013,True
554,,Thursday,T,2018,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],104,0,2013,True
555,67654.0,Thursday,T,2019,etobicoke,etobicoke guardian,metroland media group ltd.,,ON,67654.0,metroland media group ltd.,"['etobicoke ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6435559, -79.5656326)]",,,,,,0.0,etobicoke,etobicoke guardian,['Toronto'],104,0,2013,False
556,1700.0,Sunday,T,2013,chapleau,express,the chapleau express,0.0,ON,1700.0,the chapleau express,"['chapleau ,ON, Canada']",1964.0,2116.0,-7.2,1022.0,869.0,138.2,14.22,44.0,1655.0,495.0,365.0,795.0,10.0,180.0,1630.0,1590.0,36816.0,1940.0,1820.0,115.0,"[(47.845632, -83.4018741)]",express,,,,,0.0,chapleau,chapleau express,['Chapleau'],105,0,2013,False
557,,Sunday,T,2014,chapleau,express,the chapleau express,,ON,,the chapleau express,"['chapleau ,ON, Canada']",1964.0,2116.0,-7.2,1022.0,869.0,138.2,14.22,44.0,1655.0,495.0,365.0,795.0,10.0,180.0,1630.0,1590.0,36816.0,1940.0,1820.0,115.0,"[(47.845632, -83.4018741)]",,,,,,0.0,chapleau,chapleau express,['Chapleau'],105,0,2013,True
558,36541.0,Thursday,T,2013,cornwall,express,tc.transcontinental,0.0,ON,36541.0,tc.transcontinental,"['cornwall ,ON, Canada']",46589.0,46340.0,0.5,21659.0,20931.0,756.8,61.56,44.3,37955.0,9910.0,12810.0,15235.0,515.0,3480.0,37955.0,36465.0,26644.0,45175.0,41805.0,3230.0,"[(45.0184417, -74.728703)]",express,,,,,0.0,cornwall,cornwall express,['Cornwall'],106,0,2013,False
559,,Thursday,T,2014,cornwall,express,tc.transcontinental,,ON,,tc.transcontinental,"['cornwall ,ON, Canada']",46589.0,46340.0,0.5,21659.0,20931.0,756.8,61.56,44.3,37955.0,9910.0,12810.0,15235.0,515.0,3480.0,37955.0,36465.0,26644.0,45175.0,41805.0,3230.0,"[(45.0184417, -74.728703)]",,,,,,0.0,cornwall,cornwall express,['Cornwall'],106,0,2013,True
560,1700.0,Thursday,T,2015,chapleau,express,the chapleau express,0.0,ON,1700.0,the chapleau express,"['chapleau ,ON, Canada']",1964.0,2116.0,-7.2,1022.0,869.0,138.2,14.22,44.0,1655.0,495.0,365.0,795.0,10.0,180.0,1630.0,1590.0,36816.0,1940.0,1820.0,115.0,"[(47.845632, -83.4018741)]",,,,,,0.0,chapleau,chapleau express,['Chapleau'],107,0,2015,False
561,36541.0,Thursday,T,2015,cornwall,express,tc.transcontinental,0.0,ON,36541.0,tc.transcontinental,"['cornwall ,ON, Canada']",46589.0,46340.0,0.5,21659.0,20931.0,756.8,61.56,44.3,37955.0,9910.0,12810.0,15235.0,515.0,3480.0,37955.0,36465.0,26644.0,45175.0,41805.0,3230.0,"[(45.0184417, -74.728703)]",,,,,,0.0,cornwall,cornwall express,['Cornwall'],108,0,2015,False
562,1700.0,Thursday,T,2016,chapleau,express,the chapleau express,0.0,ON,1700.0,the chapleau express,"['chapleau ,ON, Canada']",1964.0,2116.0,-7.2,1022.0,869.0,138.2,14.22,44.0,1655.0,495.0,365.0,795.0,10.0,180.0,1630.0,1590.0,36816.0,1940.0,1820.0,115.0,"[(47.845632, -83.4018741)]",,,,,,0.0,chapleau,chapleau express,['Chapleau'],109,0,2016,False
563,36541.0,Thursday,T,2016,cornwall,express,tc.transcontinental,0.0,ON,36541.0,tc.transcontinental,"['cornwall ,ON, Canada']",46589.0,46340.0,0.5,21659.0,20931.0,756.8,61.56,44.3,37955.0,9910.0,12810.0,15235.0,515.0,3480.0,37955.0,36465.0,26644.0,45175.0,41805.0,3230.0,"[(45.0184417, -74.728703)]",,,,,,0.0,cornwall,cornwall express,['Cornwall'],110,0,2016,False
564,1700.0,Thursday,T,2017,chapleau,express,the chapleau express,0.0,ON,1700.0,the chapleau express,"['chapleau ,ON, Canada']",1964.0,2116.0,-7.2,1022.0,869.0,138.2,14.22,44.0,1655.0,495.0,365.0,795.0,10.0,180.0,1630.0,1590.0,36816.0,1940.0,1820.0,115.0,"[(47.845632, -83.4018741)]",,,,,,0.0,chapleau,chapleau express,['Chapleau'],111,0,2017,False
565,36541.0,Thursday,T,2017,cornwall,express,tc.transcontinental,0.0,ON,36541.0,tc.transcontinental,"['cornwall ,ON, Canada']",46589.0,46340.0,0.5,21659.0,20931.0,756.8,61.56,44.3,37955.0,9910.0,12810.0,15235.0,515.0,3480.0,37955.0,36465.0,26644.0,45175.0,41805.0,3230.0,"[(45.0184417, -74.728703)]",,,,,,0.0,cornwall,cornwall express,['Cornwall'],112,0,2017,False
566,1700.0,Thursday,T,2018,chapleau,express,the chapleau express,0.0,ON,1700.0,the chapleau express,"['chapleau ,ON, Canada']",1964.0,2116.0,-7.2,1022.0,869.0,138.2,14.22,44.0,1655.0,495.0,365.0,795.0,10.0,180.0,1630.0,1590.0,36816.0,1940.0,1820.0,115.0,"[(47.845632, -83.4018741)]",,,,,,0.0,chapleau,chapleau express,['Chapleau'],113,0,2018,False
567,36541.0,Thursday,T,2018,cornwall,express,tc.transcontinental,0.0,ON,36541.0,tc.transcontinental,"['cornwall ,ON, Canada']",46589.0,46340.0,0.5,21659.0,20931.0,756.8,61.56,44.3,37955.0,9910.0,12810.0,15235.0,515.0,3480.0,37955.0,36465.0,26644.0,45175.0,41805.0,3230.0,"[(45.0184417, -74.728703)]",,,,,,0.0,cornwall,cornwall express,['Cornwall'],114,0,2018,False
568,1700.0,Thursday,T,2019,chapleau,express,the chapleau express,0.0,ON,1700.0,the chapleau express,"['chapleau ,ON, Canada']",1964.0,2116.0,-7.2,1022.0,869.0,138.2,14.22,44.0,1655.0,495.0,365.0,795.0,10.0,180.0,1630.0,1590.0,36816.0,1940.0,1820.0,115.0,"[(47.845632, -83.4018741)]",,,,,,0.0,chapleau,chapleau express,['Chapleau'],115,0,2019,False
569,36541.0,Thursday,T,2019,cornwall,express,tc.transcontinental,0.0,ON,36541.0,tc.transcontinental,"['cornwall ,ON, Canada']",46589.0,46340.0,0.5,21659.0,20931.0,756.8,61.56,44.3,37955.0,9910.0,12810.0,15235.0,515.0,3480.0,37955.0,36465.0,26644.0,45175.0,41805.0,3230.0,"[(45.0184417, -74.728703)]",,,,,,0.0,cornwall,cornwall express,['Cornwall'],116,0,2019,False
570,11085.0,Thursday,T,2013,ottawa,express dottawa l,tc.transcontinental,0.0,ON,11085.0,tc.transcontinental,"['ottawa ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.4208777, -75.6901106)]",,,,,,0.0,ottawa,ottawa express dottawa l,['Ottawa'],117,1,2013,False
571,10607.0,Thursday,T,2014,ottawa,express dottawa l,tc.transcontinental,18.0,ON,10625.0,tc.transcontinental,"['ottawa ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.4208777, -75.6901106)]",,,,,,0.0,ottawa,ottawa express dottawa l,['Ottawa'],117,1,2013,False
572,11581.0,Thursday,T,2015,ottawa,express dottawa l,tc.transcontinental,19.0,ON,11600.0,tc.transcontinental,"['ottawa ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.4208777, -75.6901106)]",,,,,,0.0,ottawa,ottawa express dottawa l,['Ottawa'],117,1,2013,False
573,,Thursday,T,2016,ottawa,express dottawa l,tc.transcontinental,,ON,,tc.transcontinental,"['ottawa ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.4208777, -75.6901106)]",,,,,,0.0,ottawa,ottawa express dottawa l,['Ottawa'],117,1,2013,True
574,16000.0,Tuesday,T,2013,toronto,express l,l'express,6000.0,ON,22000.0,l'express,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",,,,,,0.0,toronto,toronto express l,['Toronto'],118,0,2013,False
575,,Tuesday,T,2014,toronto,express l,l'express,,ON,,l'express,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",express l,,,,,0.0,toronto,toronto express l,['Toronto'],118,0,2013,True
576,,Tuesday,T,2015,toronto,express l,l'express,,ON,,l'express,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",express l,,,,,0.0,toronto,toronto express l,['Toronto'],118,0,2013,True
577,,Tuesday,T,2016,toronto,express l,l'express,,ON,,l'express,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",express l,,,,,0.0,toronto,toronto express l,['Toronto'],118,0,2013,True
578,,Tuesday,T,2017,toronto,express l,l'express,,ON,,l'express,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",express l,,,,,0.0,toronto,toronto express l,['Toronto'],118,0,2013,True
