CDs,Others,metroland media group ltd.,postmedia network inc.
Brant,1.0,1.0,2.0
Elgin,2.0,1.0,1.0
Frontenac,2.0,2.0,1.0
Grey,3.0,1.0,0.0
Haldimand-Norfolk,4.0,2.0,1.0
Hastings,7.0,3.0,2.0
Huron,1.0,3.0,4.0
Leeds and Grenville,4.0,2.0,1.0
Middlesex,6.0,1.0,2.0
Niagara,5.0,5.0,8.0
Northumberland,0.0,3.0,1.0
Ottawa,5.0,8.0,0.0
Perth,2.0,6.0,2.0
Peterborough,3.0,1.0,1.0
Simcoe,9.0,8.0,6.0
BrantElginFrontenacGreyHaldimand-NorfolkHastingsHuronLeeds and GrenvilleMiddlesexNiagaraNorthumberlandOttawaPerthPeterboroughSimcoe,54.0,47.0,32.0
