index,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,CSDs,Year_only
110,41.0,2014,10083.0,10083.0,0.0,1.0,metroland media group ltd.,9507.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,['Bradford West Gwillimbury'],2014
111,41.0,2015,10151.0,10151.0,0.0,1.0,metroland media group ltd.,10330.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,['Bradford West Gwillimbury'],2015
112,41.0,2016,10538.0,10538.0,0.0,1.0,metroland media group ltd.,10224.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,['Bradford West Gwillimbury'],2016
113,41.0,2017,10504.0,10504.0,0.0,1.0,metroland media group ltd.,10538.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,['Bradford West Gwillimbury'],2017
114,41.0,2018,10470.0,10470.0,0.0,1.0,metroland media group ltd.,10538.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,['Bradford West Gwillimbury'],2018
115,41.0,2019,10436.0,10436.0,0.0,1.0,metroland media group ltd.,10434.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,['Bradford West Gwillimbury'],2019
137,55.0,2013,17008.0,17008.0,0.0,0.0,metroland media group ltd.,16892.0,1.83,335.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2013
138,55.0,2014,17194.0,17194.0,0.0,0.0,metroland media group ltd.,17140.0,2.0,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2014
139,55.0,2015,18629.0,18629.0,0.0,0.0,metroland media group ltd.,17089.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2015
140,55.0,2016,18657.0,18657.0,0.0,0.0,metroland media group ltd.,17951.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2016
141,55.0,2017,18360.0,18360.0,0.0,0.0,metroland media group ltd.,18657.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2017
142,55.0,2018,19199.0,19199.0,0.0,0.0,metroland media group ltd.,18437.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2018
143,55.0,2019,19290.0,19290.0,0.0,0.0,metroland media group ltd.,19199.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2019
144,58.0,2013,48113.0,48113.0,0.0,0.0,metroland media group ltd.,48159.0,1.84,335.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2013
145,58.0,2014,48367.0,48367.0,0.0,0.0,metroland media group ltd.,48113.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2014
146,58.0,2015,48168.0,48168.0,0.0,0.0,metroland media group ltd.,48224.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2015
147,58.0,2016,46877.0,46877.0,0.0,0.0,metroland media group ltd.,48168.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2016
148,58.0,2017,46295.0,46295.0,0.0,0.0,metroland media group ltd.,46877.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2017
149,58.0,2018,45733.0,45733.0,0.0,0.0,metroland media group ltd.,46295.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2018
150,58.0,2019,44949.0,44949.0,0.0,0.0,metroland media group ltd.,46295.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2019
151,59.0,2013,43185.0,43185.0,0.0,0.0,metroland media group ltd.,43045.0,1.84,335.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2013
152,59.0,2014,43389.0,43389.0,0.0,0.0,metroland media group ltd.,43185.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2014
153,59.0,2015,42956.0,42956.0,0.0,0.0,metroland media group ltd.,43067.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2015
154,59.0,2016,41666.0,41666.0,0.0,0.0,metroland media group ltd.,42956.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2016
155,59.0,2017,41054.0,41054.0,0.0,0.0,metroland media group ltd.,41666.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2017
156,59.0,2018,40898.0,40898.0,0.0,0.0,metroland media group ltd.,41054.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2018
157,59.0,2019,40511.0,40511.0,0.0,0.0,metroland media group ltd.,41054.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2019
165,65.0,2013,12812.0,12812.0,0.0,0.0,metroland media group ltd.,12509.0,0.87,335.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2013
166,65.0,2014,12814.0,12814.0,0.0,0.0,metroland media group ltd.,12812.0,0.61,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2014
167,65.0,2015,13376.0,13376.0,0.0,0.0,metroland media group ltd.,13125.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2015
168,65.0,2016,12246.0,12246.0,0.0,0.0,metroland media group ltd.,13376.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2016
169,65.0,2017,11690.0,11690.0,0.0,0.0,metroland media group ltd.,12246.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2017
170,65.0,2018,11615.0,11615.0,0.0,0.0,metroland media group ltd.,11690.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2018
171,65.0,2019,11326.0,11326.0,0.0,0.0,metroland media group ltd.,11547.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2019
207,85.0,2013,18117.0,18117.0,0.0,0.0,metroland media group ltd.,18105.0,1.7,335.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2013
208,85.0,2014,15746.0,15746.0,0.0,0.0,metroland media group ltd.,18117.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2014
209,85.0,2015,15456.0,15456.0,0.0,0.0,metroland media group ltd.,15745.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2015
210,85.0,2016,15413.0,15413.0,0.0,0.0,metroland media group ltd.,15415.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2016
211,85.0,2017,15071.0,15071.0,0.0,0.0,metroland media group ltd.,15413.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2017
212,85.0,2018,15061.0,15061.0,0.0,0.0,metroland media group ltd.,15067.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2018
213,85.0,2019,13990.0,13990.0,0.0,0.0,metroland media group ltd.,14638.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2019
