CSDs,Year,ID,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,Year_only,Time,Post2017,OwnerPostmediaMetroland,Interaction,Interaction2,Interaction3
['Barrie'],2016-01-01,21.0,52759.0,52759.0,0.0,1.0,metroland media group ltd.,52317.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2016,3,0,1,0.0,0.0,1.0
['Barrie'],2017-01-01,21.0,52713.0,52713.0,0.0,1.0,metroland media group ltd.,52759.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2017,4,0,1,0.0,0.0,1.0
['Barrie'],2018-01-01,21.0,52226.0,52226.0,0.0,1.0,metroland media group ltd.,52277.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2018,5,1,1,1.0,1.0,1.0
['Barrie'],2019-01-01,21.0,51125.0,51125.0,0.0,1.0,metroland media group ltd.,51148.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2019,6,1,1,1.0,1.0,1.0
['Bradford West Gwillimbury'],2013-01-01,41.0,17967.0,17967.0,0.0,1.0,metroland media group ltd.,9050.0,1.37,335.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2013,0,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2014-01-01,41.0,10083.0,10083.0,0.0,1.0,metroland media group ltd.,9507.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2014,1,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2015-01-01,41.0,10151.0,10151.0,0.0,1.0,metroland media group ltd.,10330.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2015,2,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2016-01-01,41.0,10538.0,10538.0,0.0,1.0,metroland media group ltd.,10224.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2016,3,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2017-01-01,41.0,10504.0,10504.0,0.0,1.0,metroland media group ltd.,10538.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2017,4,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2018-01-01,41.0,10470.0,10470.0,0.0,1.0,metroland media group ltd.,10538.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2018,5,1,1,1.0,1.0,1.0
['Bradford West Gwillimbury'],2019-01-01,41.0,10436.0,10436.0,0.0,1.0,metroland media group ltd.,10434.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2019,6,1,1,1.0,1.0,1.0
['Caledon'],2013-01-01,55.0,17008.0,17008.0,0.0,0.0,metroland media group ltd.,16892.0,1.83,335.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2013,0,0,1,0.0,0.0,0.0
['Caledon'],2014-01-01,55.0,17194.0,17194.0,0.0,0.0,metroland media group ltd.,17140.0,2.0,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2014,1,0,1,0.0,0.0,0.0
['Caledon'],2015-01-01,55.0,18629.0,18629.0,0.0,0.0,metroland media group ltd.,17089.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2015,2,0,1,0.0,0.0,0.0
['Caledon'],2016-01-01,55.0,18657.0,18657.0,0.0,0.0,metroland media group ltd.,17951.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2016,3,0,1,0.0,0.0,0.0
['Caledon'],2017-01-01,55.0,18360.0,18360.0,0.0,0.0,metroland media group ltd.,18657.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2017,4,0,1,0.0,0.0,0.0
['Caledon'],2018-01-01,55.0,19199.0,19199.0,0.0,0.0,metroland media group ltd.,18437.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2018,5,1,1,0.0,0.0,0.0
['Caledon'],2019-01-01,55.0,19290.0,19290.0,0.0,0.0,metroland media group ltd.,19199.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2019,6,1,1,0.0,0.0,0.0
['Cambridge'],2013-01-01,58.0,48113.0,48113.0,0.0,0.0,metroland media group ltd.,48159.0,1.84,335.0,1160.0,cambridge times,cambridge times,cambridge times,2013,0,0,1,0.0,0.0,0.0
['Cambridge'],2014-01-01,58.0,48367.0,48367.0,0.0,0.0,metroland media group ltd.,48113.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2014,1,0,1,0.0,0.0,0.0
['Cambridge'],2015-01-01,58.0,48168.0,48168.0,0.0,0.0,metroland media group ltd.,48224.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2015,2,0,1,0.0,0.0,0.0
['Cambridge'],2016-01-01,58.0,46877.0,46877.0,0.0,0.0,metroland media group ltd.,48168.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2016,3,0,1,0.0,0.0,0.0
['Cambridge'],2017-01-01,58.0,46295.0,46295.0,0.0,0.0,metroland media group ltd.,46877.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2017,4,0,1,0.0,0.0,0.0
['Cambridge'],2018-01-01,58.0,45733.0,45733.0,0.0,0.0,metroland media group ltd.,46295.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2018,5,1,1,0.0,0.0,0.0
['Cambridge'],2019-01-01,58.0,44949.0,44949.0,0.0,0.0,metroland media group ltd.,46295.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2019,6,1,1,0.0,0.0,0.0
['Cambridge'],2013-01-01,59.0,43185.0,43185.0,0.0,0.0,metroland media group ltd.,43045.0,1.84,335.0,1160.0,cambridge times,cambridge times,cambridge times,2013,0,0,1,0.0,0.0,0.0
['Cambridge'],2014-01-01,59.0,43389.0,43389.0,0.0,0.0,metroland media group ltd.,43185.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2014,1,0,1,0.0,0.0,0.0
['Cambridge'],2015-01-01,59.0,42956.0,42956.0,0.0,0.0,metroland media group ltd.,43067.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2015,2,0,1,0.0,0.0,0.0
['Cambridge'],2016-01-01,59.0,41666.0,41666.0,0.0,0.0,metroland media group ltd.,42956.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2016,3,0,1,0.0,0.0,0.0
['Cambridge'],2017-01-01,59.0,41054.0,41054.0,0.0,0.0,metroland media group ltd.,41666.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2017,4,0,1,0.0,0.0,0.0
['Cambridge'],2018-01-01,59.0,40898.0,40898.0,0.0,0.0,metroland media group ltd.,41054.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2018,5,1,1,0.0,0.0,0.0
['Cambridge'],2019-01-01,59.0,40511.0,40511.0,0.0,0.0,metroland media group ltd.,41054.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2019,6,1,1,0.0,0.0,0.0
"['Mississippi Mills', 'Carleton Place']",2013-01-01,65.0,12812.0,12812.0,0.0,0.0,metroland media group ltd.,12509.0,0.87,335.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,2013,0,0,1,0.0,0.0,0.0
"['Mississippi Mills', 'Carleton Place']",2014-01-01,65.0,12814.0,12814.0,0.0,0.0,metroland media group ltd.,12812.0,0.61,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,2014,1,0,1,0.0,0.0,0.0
"['Mississippi Mills', 'Carleton Place']",2015-01-01,65.0,13376.0,13376.0,0.0,0.0,metroland media group ltd.,13125.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,2015,2,0,1,0.0,0.0,0.0
"['Mississippi Mills', 'Carleton Place']",2016-01-01,65.0,12246.0,12246.0,0.0,0.0,metroland media group ltd.,13376.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,2016,3,0,1,0.0,0.0,0.0
"['Mississippi Mills', 'Carleton Place']",2017-01-01,65.0,11690.0,11690.0,0.0,0.0,metroland media group ltd.,12246.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,2017,4,0,1,0.0,0.0,0.0
"['Mississippi Mills', 'Carleton Place']",2018-01-01,65.0,11615.0,11615.0,0.0,0.0,metroland media group ltd.,11690.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,2018,5,1,1,0.0,0.0,0.0
"['Mississippi Mills', 'Carleton Place']",2019-01-01,65.0,11326.0,11326.0,0.0,0.0,metroland media group ltd.,11547.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,2019,6,1,1,0.0,0.0,0.0
['Hamilton'],2013-01-01,85.0,18117.0,18117.0,0.0,0.0,metroland media group ltd.,18105.0,1.7,335.0,1160.0,dundas star news,dundas star news,dundas star news,2013,0,0,1,0.0,0.0,0.0
['Hamilton'],2014-01-01,85.0,15746.0,15746.0,0.0,0.0,metroland media group ltd.,18117.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,2014,1,0,1,0.0,0.0,0.0
['Hamilton'],2015-01-01,85.0,15456.0,15456.0,0.0,0.0,metroland media group ltd.,15745.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,2015,2,0,1,0.0,0.0,0.0
['Hamilton'],2016-01-01,85.0,15413.0,15413.0,0.0,0.0,metroland media group ltd.,15415.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,2016,3,0,1,0.0,0.0,0.0
['Hamilton'],2017-01-01,85.0,15071.0,15071.0,0.0,0.0,metroland media group ltd.,15413.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,2017,4,0,1,0.0,0.0,0.0
['Hamilton'],2018-01-01,85.0,15061.0,15061.0,0.0,0.0,metroland media group ltd.,15067.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,2018,5,1,1,0.0,0.0,0.0
['Hamilton'],2019-01-01,85.0,13990.0,13990.0,0.0,0.0,metroland media group ltd.,14638.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,2019,6,1,1,0.0,0.0,0.0
['East Gwillimbury'],2015-01-01,86.0,7326.0,7326.0,0.0,0.0,metroland media group ltd.,7550.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,2015,2,0,1,0.0,0.0,0.0
['East Gwillimbury'],2016-01-01,86.0,7276.0,7276.0,0.0,0.0,metroland media group ltd.,7443.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,2016,3,0,1,0.0,0.0,0.0
['East Gwillimbury'],2017-01-01,86.0,7260.333333333333,7260.333333333333,0.0,0.0,metroland media group ltd.,7276.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,2017,4,0,1,0.0,0.0,0.0
['East Gwillimbury'],2018-01-01,86.0,7244.666666666667,7244.666666666667,0.0,0.0,metroland media group ltd.,7276.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,2018,5,1,1,0.0,0.0,0.0
['East Gwillimbury'],2019-01-01,86.0,7229.0,7229.0,0.0,0.0,metroland media group ltd.,7259.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,2019,6,1,1,0.0,0.0,0.0
['Toronto'],2013-01-01,87.0,34923.0,34923.0,0.0,0.0,metroland media group ltd.,55569.0,5.49,335.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,2013,0,0,1,0.0,0.0,0.0
['Toronto'],2014-01-01,87.0,34705.0,34705.0,0.0,0.0,metroland media group ltd.,56393.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,2014,1,0,1,0.0,0.0,0.0
['Toronto'],2015-01-01,87.0,36764.0,36764.0,0.0,0.0,metroland media group ltd.,56734.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,2015,2,0,1,0.0,0.0,0.0
['Toronto'],2016-01-01,87.0,35300.0,35300.0,0.0,0.0,metroland media group ltd.,58355.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,2016,3,0,1,0.0,0.0,0.0
['Toronto'],2017-01-01,87.0,41067.0,41067.0,0.0,0.0,metroland media group ltd.,57549.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,2017,4,0,1,0.0,0.0,0.0
['Toronto'],2018-01-01,87.0,46834.0,46834.0,0.0,0.0,metroland media group ltd.,57123.0,6.18,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,2018,5,1,1,0.0,0.0,0.0
['Toronto'],2013-01-01,104.0,69376.0,69376.0,0.0,0.0,metroland media group ltd.,69433.0,6.08,335.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,2013,0,0,1,0.0,0.0,0.0
['Toronto'],2014-01-01,104.0,68897.0,68897.0,0.0,0.0,metroland media group ltd.,69333.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,2014,1,0,1,0.0,0.0,0.0
