,Newspaper,Issued,Circ,Audit,AuditDate,NatlLineRate,SpotColour,ProcessColour,Format,Columns,Lines,MaterialCode,Year
0,ajax pickering news advertiser,Thursday,"52,714",CCAB,03/31/12,$4.52,$335,"$1,160",T,10.0,175.0,10.0,2013
1,ajax pickering news advertiser,Wednesday,"52,732",CCAB,03/31/12,$4.52,$335,"$1,160",T,10.0,175.0,10.0,2013
0,ajax pickering news advertiser,Thursday,"53,596",CCAB,03/31/13,$4.94,"$1,160","$1,160",T,10.0,161.0,10,2014
1,ajax pickering news advertiser,Wednesday,"53,584",CCAB,03/31/13,$4.94,"$1,160","$1,160",T,10.0,161.0,10,2014
0,ajax pickering news advertiser,Thursday,"53,619",CCAB,03/31/14,$4.94,"$1,160","$1,160",T,10.0,161.0,10.0,2015
1,ajax pickering news advertiser,Wednesday,"53,619",CCAB,03/31/14,$4.94,"$1,160","$1,160",T,10.0,161.0,10.0,2015
0,ajax pickering news advertiser,Thursday,"53,950",CCAB,03/31/15,$4.94,,"$1,160",T,10.0,161.0,10.0,2016
1,ajax pickering news advertiser,Wednesday,"53,965",CCAB,03/31/15,$4.94,,"$1,160",T,10.0,161.0,10.0,2016
0,ajax pickering news advertiser,Thursday,"52,833",CCAB,03/31/16,$4.94,,"$1,160",T,10.0,161.0,10.0,2017
1,ajax pickering news advertiser,Wednesday,"52,855",CCAB,03/31/16,$4.94,,"$1,160",T,10.0,161.0,10.0,2017
0,ajax pickering news advertiser,Thursday,"52,624",CCAB,12/31/16,$4.94,,"$1,160",T,10.0,161.0,10.0,2018
1,ajax pickering news advertiser,Wednesday,"52,574",CCAB,12/31/16,$4.94,,"$1,160",T,10.0,161.0,10.0,2018
0,ajax pickering news advertiser,Thursday,"53,176",CCAB,06/30/18,$4.94,,"$1,160",T,10.0,161.0,10.0,2019
1,ajax pickering news advertiser,Wednesday,"53,217",CCAB,06/30/18,$4.94,,"$1,160",T,10.0,161.0,10.0,2019
2,alexandria glengarry news,Wednesday,"5,229",CMCAP,09/30/12,$0.85,$206,$694,B,8.0,295.0,7.0,2013
