,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,CSDs
12,23,Wednesday,T,2014,mitchell,advocate,sun media corporation,2036,ON,2059,sun media corporation,"['mitchell ,ON, Canada']",8865,8919,-0.6,3500,3364,15.3,579.36,40.3,6985,1495,2210,3285,160,770,6990,6795,37529,8730,8255,455,"[(43.467942, -81.197899)]",['West Perth']
13,22,Wednesday,T,2015,mitchell,advocate,sun media corporation,1977,ON,1999,sun media corporation,"['mitchell ,ON, Canada']",8865,8919,-0.6,3500,3364,15.3,579.36,40.3,6985,1495,2210,3285,160,770,6990,6795,37529,8730,8255,455,"[(43.467942, -81.197899)]",['West Perth']
14,29,Wednesday,T,2016,mitchell,advocate,sun media corporation,1841,ON,1870,postmedia network inc.,"['mitchell ,ON, Canada']",8865,8919,-0.6,3500,3364,15.3,579.36,40.3,6985,1495,2210,3285,160,770,6990,6795,37529,8730,8255,455,"[(43.467942, -81.197899)]",['West Perth']
15,18,Wednesday,T,2017,mitchell,advocate,postmedia network inc.,1745,ON,1763,postmedia network inc.,"['mitchell ,ON, Canada']",8865,8919,-0.6,3500,3364,15.3,579.36,40.3,6985,1495,2210,3285,160,770,6990,6795,37529,8730,8255,455,"[(43.467942, -81.197899)]",['West Perth']
16,0,Thursday,T,2014,strathroy,age dispatch,sun media corporation,1480,ON,1480,sun media corporation,"['strathroy ,ON, Canada']",20867,20978,-0.5,8455,8294,77.1,270.77,42.3,17005,4005,4995,8005,215,1990,17005,16430,35032,20535,17940,2585,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc']
17,0,Thursday,T,2015,strathroy,age dispatch,sun media corporation,843,ON,843,sun media corporation,"['strathroy ,ON, Canada']",20867,20978,-0.5,8455,8294,77.1,270.77,42.3,17005,4005,4995,8005,215,1990,17005,16430,35032,20535,17940,2585,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc']
18,0,Thursday,T,2016,strathroy,age dispatch,sun media corporation,843,ON,843,postmedia network inc.,"['strathroy ,ON, Canada']",20867,20978,-0.5,8455,8294,77.1,270.77,42.3,17005,4005,4995,8005,215,1990,17005,16430,35032,20535,17940,2585,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc']
19,0,Thursday,T,2017,strathroy,age dispatch,postmedia network inc.,843,ON,843,postmedia network inc.,"['strathroy ,ON, Canada']",20867,20978,-0.5,8455,8294,77.1,270.77,42.3,17005,4005,4995,8005,215,1990,17005,16430,35032,20535,17940,2585,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc']
20,0,Thursday,T,2018,strathroy,age dispatch,postmedia network inc.,843,ON,843,postmedia network inc.,"['strathroy ,ON, Canada']",20867,20978,-0.5,8455,8294,77.1,270.77,42.3,17005,4005,4995,8005,215,1990,17005,16430,35032,20535,17940,2585,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc']
21,15150,Thursday,T,2019,strathroy&middlesex,age dispatch,postmedia network inc.,0,ON,15150,postmedia network inc.,"['strathroy ,ON, Canada', 'middlesex ,ON, Canada']",17029,16989,0.5,6808.5,6609,53.75,352.38,42,13942.5,2922.5,4055,6962.5,227.5,1772.5,13942.5,13475,38567.5,16857.5,14957.5,1892.5,"[(42.966146, -81.59100834347846), (42.9791385, -80.9305313)]","['Strathroy-Caradoc', 'Thames Centre']"
22,0,Tuesday,B,2013,alliston,alliston herald,metroland media group ltd.,670,ON,670,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
23,22127,Thursday,T,2013,alliston,alliston herald,metroland media group ltd.,0,ON,22127,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
24,22266,Thursday,T,2014,alliston,alliston herald,metroland media group ltd.,0,ON,22266,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
25,0,Tuesday,B,2014,alliston,alliston herald,metroland media group ltd.,670,ON,670,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
26,22403,Thursday,T,2015,alliston,alliston herald,metroland media group ltd.,0,ON,22403,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
