,Newspaper,Issued,Circ,Audit,AuditDate,NatlLineRate,SpotColour,ProcessColour,Format,Columns,Lines,MaterialCode,Year
316,arthur enterprise news,Wednesday,522,CMCAP,12/31/12,$0.93,"$1,160","$1,160",T,10.0,161.0,10,2014
625,arthur enterprise news,Wednesday,355,CMCAP,06/30/14,$0.93,"$1,160","$1,160",T,10.0,161.0,10.0,2015
931,arthur enterprise news,Wednesday,315,CMCA,12/31/14,$0.93,,"$1,160",T,10.0,161.0,10.0,2016
1227,arthur enterprise news,Wednesday,235,CMCA,12/31/15,$0.93,,"$1,160",T,10.0,161.0,10.0,2017
8,atikokan progress,Monday,"1,391",CMCAP,03/31/12,$0.79,$165,$471,T,5.0,210.0,4.0,2013
317,atikokan progress,Monday,"1,350",CMCAP,03/31/13,$0.82,$165,$471,T,5.0,210.0,4,2014
626,atikokan progress,Monday,"1,260",CMCAP,03/31/14,$0.86,$165,$471,T,5.0,210.0,4.0,2015
932,atikokan progress,Monday,"1,193",CMCA,03/31/15,$0.86,,$471,T,5.0,210.0,4.0,2016
1228,atikokan progress,Monday,"1,113",CMCA,04/30/16,$0.88,,$471,T,5.0,210.0,4.0,2017
1513,atikokan progress,Monday,"1,081",CMCA,04/30/17,$0.88,,$471,T,5.0,210.0,4.0,2018
1757,atikokan progress,Monday,"1,041",CMCA,04/30/18,$0.88,,$471,T,5.0,210.0,4.0,2019
9,aurora the auroran,Tuesday,"19,284",CMCAC,04/30/12,$1.24,$88,$194,T,6.0,220.0,5.0,2013
318,aurora the auroran,Thursday,"19,575",CMCAC,10/31/12,$0.57,$88,$176,B,8.0,301.0,,2014
627,aurora the auroran,Thursday,"19,427",CMCAC,04/30/14,$0.57,$88,$176,B,8.0,301.0,,2015
933,aurora the auroran,Thursday,"19,427",CMCA,04/30/14,$0.57,,$176,B,8.0,301.0,9.0,2016
1229,aurora the auroran,Thursday,"18,184",CMCA,10/31/15,$0.57,,$176,B,8.0,301.0,9.0,2017
1514,aurora the auroran,Thursday,"18,184",CMCA,10/31/15,$0.57,,$176,B,8.0,301.0,9.0,2018
