,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,CSDs,first_year,equal_to_previous
745,0.0,Wednesday,T,2013,ignace,ignace driftwood,ignace driftwood,363.0,ON,363.0,ignace driftwood,"['ignace ,ON, Canada']",1202.0,1202.0,0.0,711.0,564.0,16.5,72.82,46.8,1010.0,350.0,265.0,400.0,25.0,80.0,1050.0,1010.0,30240.0,1190.0,1115.0,75.0,"[(49.41276, -91.654816)]",['Ignace'],2013,False
746,10623.0,Wednesday,B,2013,port%20colborne,in port news,sun media corporation,0.0,ON,10623.0,sun media corporation,"['port colborne ,ON, Canada']",18306.0,18424.0,-0.6,9825.0,8018.0,150.1,121.96,46.5,15415.0,3440.0,4855.0,7115.0,200.0,1540.0,15415.0,14900.0,29977.0,17865.0,15985.0,1835.0,"[(42.8862392, -79.2513905)]",['Port Colborne'],2013,False
747,10129.0,Wednesday,B,2014,port%20colborne,in port news,sun media corporation,,ON,10129.0,sun media corporation,"['port colborne ,ON, Canada']",18306.0,18424.0,-0.6,9825.0,8018.0,150.1,121.96,46.5,15415.0,3440.0,4855.0,7115.0,200.0,1540.0,15415.0,14900.0,29977.0,17865.0,15985.0,1835.0,"[(42.8862392, -79.2513905)]",['Port Colborne'],2013,False
748,9880.0,Wednesday,B,2015,port%20colborne,in port news,sun media corporation,,ON,9880.0,sun media corporation,"['port colborne ,ON, Canada']",18306.0,18424.0,-0.6,9825.0,8018.0,150.1,121.96,46.5,15415.0,3440.0,4855.0,7115.0,200.0,1540.0,15415.0,14900.0,29977.0,17865.0,15985.0,1835.0,"[(42.8862392, -79.2513905)]",['Port Colborne'],2013,False
749,9849.0,Wednesday,B,2016,port%20colborne,in port news,sun media corporation,,ON,9849.0,postmedia network inc.,"['port colborne ,ON, Canada']",18306.0,18424.0,-0.6,9825.0,8018.0,150.1,121.96,46.5,15415.0,3440.0,4855.0,7115.0,200.0,1540.0,15415.0,14900.0,29977.0,17865.0,15985.0,1835.0,"[(42.8862392, -79.2513905)]",['Port Colborne'],2013,False
750,9834.0,Wednesday,B,2017,port%20colborne,in port news,postmedia network inc.,,ON,9834.0,postmedia network inc.,"['port colborne ,ON, Canada']",18306.0,18424.0,-0.6,9825.0,8018.0,150.1,121.96,46.5,15415.0,3440.0,4855.0,7115.0,200.0,1540.0,15415.0,14900.0,29977.0,17865.0,15985.0,1835.0,"[(42.8862392, -79.2513905)]",['Port Colborne'],2013,False
751,17138.0,Friday,T,2014,barrhaven,independent,the morris group,0.0,ON,17138.0,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",['Ottawa'],2014,False
752,3300.0,Friday,T,2014,st.%20marys,independent,st. marys independent,0.0,ON,3300.0,st. marys independent,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2014,False
753,17138.0,Friday,T,2015,barrhaven,independent,the morris group,,ON,17138.0,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",['Ottawa'],2014,False
754,,Friday,T,2016,barrhaven,independent,the morris group,,ON,,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",['Ottawa'],2014,True
755,8708.0,Friday,T,2017,barrhaven,independent,the morris group,,ON,8708.0,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",['Ottawa'],2014,False
756,,Friday,T,2018,barrhaven,independent,the morris group,,ON,,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",['Ottawa'],2014,True
758,22254.0,Thursday,T,2014,georgetown&acton,independent & free press,metroland media group ltd.,50.0,ON,22304.0,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,False
759,22651.0,Thursday,T,2015,georgetown&acton,independent & free press,metroland media group ltd.,24.0,ON,22675.0,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,False
761,22558.0,Thursday,T,2016,georgetown&acton,independent & free press,metroland media group ltd.,27.0,ON,22585.0,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,False
763,,Thursday,T,2017,georgetown&acton,independent & free press,metroland media group ltd.,,ON,,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,True
765,,Thursday,T,2018,georgetown&acton,independent & free press,metroland media group ltd.,,ON,,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,True
767,23509.0,Thursday,T,2019,georgetown&acton,independent & free press,metroland media group ltd.,0.0,ON,23509.0,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,False
757,21531.0,Tuesday,T,2014,georgetown&acton,independent & free press,metroland media group ltd.,68.0,ON,21599.0,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,False
760,,Tuesday,T,2015,georgetown&acton,independent & free press,metroland media group ltd.,,ON,,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,True
762,,Tuesday,T,2016,georgetown&acton,independent & free press,metroland media group ltd.,,ON,,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,True
764,,Tuesday,T,2017,georgetown&acton,independent & free press,metroland media group ltd.,,ON,,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,True
766,22902.0,Tuesday,T,2018,georgetown&acton,independent & free press,metroland media group ltd.,0.0,ON,22902.0,metroland media group ltd.,"['georgetown ,ON, Canada', 'acton ,ON, Canada']",61161.0,59013.0,3.6,21475.0,21078.0,221.4,276.27,39.3,48770.0,7930.0,14525.0,26310.0,945.0,10850.0,48765.0,46820.0,43568.0,60195.0,50310.0,9745.0,"[(43.6502652, -79.9036058), (43.6340679, -80.0351117)]","['Halton Hills', 'Halton Hills']",2014,False
768,0.0,Wednesday,T,2013,ridgetown,independent news,ridgetown independent news,1964.0,ON,1964.0,ridgetown independent news,"['ridgetown ,ON, Canada']",101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0,"[(42.4394208, -81.8821334)]",['Chatham-Kent'],2013,False
769,,Wednesday,T,2014,ridgetown,independent news,ridgetown independent news,1787.0,ON,1787.0,ridgetown independent news,"['ridgetown ,ON, Canada']",101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0,"[(42.4394208, -81.8821334)]",['Chatham-Kent'],2013,False
770,,Wednesday,T,2015,ridgetown,independent news,ridgetown independent news,1776.0,ON,1776.0,ridgetown independent news,"['ridgetown ,ON, Canada']",101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0,"[(42.4394208, -81.8821334)]",['Chatham-Kent'],2013,False
771,,Wednesday,T,2016,ridgetown,independent news,ridgetown independent news,1752.0,ON,1752.0,ridgetown independent news,"['ridgetown ,ON, Canada']",101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0,"[(42.4394208, -81.8821334)]",['Chatham-Kent'],2013,False
772,,Wednesday,T,2017,ridgetown,independent news,ridgetown independent news,1674.0,ON,1674.0,ridgetown independent news,"['ridgetown ,ON, Canada']",101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0,"[(42.4394208, -81.8821334)]",['Chatham-Kent'],2013,False
773,,Wednesday,T,2018,ridgetown,independent news,ridgetown independent news,1583.0,ON,1583.0,ridgetown independent news,"['ridgetown ,ON, Canada']",101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0,"[(42.4394208, -81.8821334)]",['Chatham-Kent'],2013,False
774,,Wednesday,T,2019,ridgetown,independent news,ridgetown independent news,1547.0,ON,1547.0,ridgetown independent news,"['ridgetown ,ON, Canada']",101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0,"[(42.4394208, -81.8821334)]",['Chatham-Kent'],2013,False
775,8902.0,Wednesday,T,2014,tillsonburg,independent/news,sun media corporation,842.0,ON,9744.0,sun media corporation,"['tillsonburg ,ON, Canada']",15872.0,15301.0,3.7,7297.0,7127.0,710.8,22.33,46.2,13255.0,3445.0,4335.0,5480.0,180.0,1390.0,13255.0,12840.0,32240.0,15595.0,13705.0,1875.0,"[(42.859494, -80.7265015)]",['Tillsonburg'],2014,False
776,8878.0,Wednesday,T,2015,tillsonburg,independent/news,sun media corporation,716.0,ON,9594.0,sun media corporation,"['tillsonburg ,ON, Canada']",15872.0,15301.0,3.7,7297.0,7127.0,710.8,22.33,46.2,13255.0,3445.0,4335.0,5480.0,180.0,1390.0,13255.0,12840.0,32240.0,15595.0,13705.0,1875.0,"[(42.859494, -80.7265015)]",['Tillsonburg'],2014,False
777,,Wednesday,T,2016,tillsonburg,independent/news,sun media corporation,,ON,,postmedia network inc.,"['tillsonburg ,ON, Canada']",15872.0,15301.0,3.7,7297.0,7127.0,710.8,22.33,46.2,13255.0,3445.0,4335.0,5480.0,180.0,1390.0,13255.0,12840.0,32240.0,15595.0,13705.0,1875.0,"[(42.859494, -80.7265015)]",['Tillsonburg'],2014,True
778,,Wednesday,T,2017,tillsonburg,independent/news,postmedia network inc.,,ON,,postmedia network inc.,"['tillsonburg ,ON, Canada']",15872.0,15301.0,3.7,7297.0,7127.0,710.8,22.33,46.2,13255.0,3445.0,4335.0,5480.0,180.0,1390.0,13255.0,12840.0,32240.0,15595.0,13705.0,1875.0,"[(42.859494, -80.7265015)]",['Tillsonburg'],2014,True
779,,Wednesday,T,2018,tillsonburg,independent/news,postmedia network inc.,,ON,,postmedia network inc.,"['tillsonburg ,ON, Canada']",15872.0,15301.0,3.7,7297.0,7127.0,710.8,22.33,46.2,13255.0,3445.0,4335.0,5480.0,180.0,1390.0,13255.0,12840.0,32240.0,15595.0,13705.0,1875.0,"[(42.859494, -80.7265015)]",['Tillsonburg'],2014,True
780,,Wednesday,T,2019,tillsonburg,independent/news,postmedia network inc.,,ON,,postmedia network inc.,"['tillsonburg ,ON, Canada']",15872.0,15301.0,3.7,7297.0,7127.0,710.8,22.33,46.2,13255.0,3445.0,4335.0,5480.0,180.0,1390.0,13255.0,12840.0,32240.0,15595.0,13705.0,1875.0,"[(42.859494, -80.7265015)]",['Tillsonburg'],2014,True
781,2000.0,Tuesday,T,2013,hamilton&burlington,information l,l'information (hamilton/burlington),0.0,ON,2000.0,l'information (hamilton/burlington),"['hamilton ,ON, Canada', 'burlington ,ON, Canada']",243724.3333,235476.6667,3.266666667,100043.3333,95748.33333,503.5333333,519.6766667,42.7,199993.3333,35865.0,55696.66667,108433.3333,3930.0,45803.33333,199993.3333,191970.0,38177.33333,239660.0,179305.0,57951.66667,"[(43.2560802, -79.8728583), (43.3248924, -79.7966835)]","['Hamilton', 'Burlington']",2013,False
782,,Tuesday,T,2014,hamilton&burlington,information l,l'information (hamilton/burlington),,ON,,l'information (hamilton/burlington),"['hamilton ,ON, Canada', 'burlington ,ON, Canada']",243724.3333,235476.6667,3.266666667,100043.3333,95748.33333,503.5333333,519.6766667,42.7,199993.3333,35865.0,55696.66667,108433.3333,3930.0,45803.33333,199993.3333,191970.0,38177.33333,239660.0,179305.0,57951.66667,"[(43.2560802, -79.8728583), (43.3248924, -79.7966835)]","['Hamilton', 'Burlington']",2013,True
783,,Tuesday,T,2015,hamilton&burlington,information l,l'information (hamilton/burlington),,ON,,l'information (hamilton/burlington),"['hamilton ,ON, Canada', 'burlington ,ON, Canada']",243724.3333,235476.6667,3.266666667,100043.3333,95748.33333,503.5333333,519.6766667,42.7,199993.3333,35865.0,55696.66667,108433.3333,3930.0,45803.33333,199993.3333,191970.0,38177.33333,239660.0,179305.0,57951.66667,"[(43.2560802, -79.8728583), (43.3248924, -79.7966835)]","['Hamilton', 'Burlington']",2013,True
784,,Tuesday,T,2016,hamilton&burlington,information l,l'information (hamilton/burlington),,ON,,l'information (hamilton/burlington),"['hamilton ,ON, Canada', 'burlington ,ON, Canada']",243724.3333,235476.6667,3.266666667,100043.3333,95748.33333,503.5333333,519.6766667,42.7,199993.3333,35865.0,55696.66667,108433.3333,3930.0,45803.33333,199993.3333,191970.0,38177.33333,239660.0,179305.0,57951.66667,"[(43.2560802, -79.8728583), (43.3248924, -79.7966835)]","['Hamilton', 'Burlington']",2013,True
785,,Tuesday,T,2017,hamilton&burlington,information l,l'information (hamilton/burlington),,ON,,l'information (hamilton/burlington),"['hamilton ,ON, Canada', 'burlington ,ON, Canada']",243724.3333,235476.6667,3.266666667,100043.3333,95748.33333,503.5333333,519.6766667,42.7,199993.3333,35865.0,55696.66667,108433.3333,3930.0,45803.33333,199993.3333,191970.0,38177.33333,239660.0,179305.0,57951.66667,"[(43.2560802, -79.8728583), (43.3248924, -79.7966835)]","['Hamilton', 'Burlington']",2013,True
786,,Tuesday,T,2018,hamilton&burlington,information l,l'information (hamilton/burlington),,ON,,l'information (hamilton/burlington),"['hamilton ,ON, Canada', 'burlington ,ON, Canada']",243724.3333,235476.6667,3.266666667,100043.3333,95748.33333,503.5333333,519.6766667,42.7,199993.3333,35865.0,55696.66667,108433.3333,3930.0,45803.33333,199993.3333,191970.0,38177.33333,239660.0,179305.0,57951.66667,"[(43.2560802, -79.8728583), (43.3248924, -79.7966835)]","['Hamilton', 'Burlington']",2013,True
787,,Tuesday,T,2019,hamilton&burlington,information l,l'information (hamilton/burlington),,ON,,l'information (hamilton/burlington),"['hamilton ,ON, Canada', 'burlington ,ON, Canada']",243724.3333,235476.6667,3.266666667,100043.3333,95748.33333,503.5333333,519.6766667,42.7,199993.3333,35865.0,55696.66667,108433.3333,3930.0,45803.33333,199993.3333,191970.0,38177.33333,239660.0,179305.0,57951.66667,"[(43.2560802, -79.8728583), (43.3248924, -79.7966835)]","['Hamilton', 'Burlington']",2013,True
788,0.0,Wednesday,T,2013,ingersoll,ingersoll times,sun media corporation,883.0,ON,883.0,sun media corporation,"['ingersoll ,ON, Canada']",12757.0,12146.0,5.0,5192.0,5088.0,1000.7,12.75,40.3,10245.0,2220.0,3310.0,4715.0,90.0,1090.0,10245.0,9875.0,37124.0,12575.0,11775.0,800.0,"[(43.037725, -80.88211)]",['Ingersoll'],2013,False
789,,Wednesday,T,2014,ingersoll,ingersoll times,sun media corporation,728.0,ON,728.0,sun media corporation,"['ingersoll ,ON, Canada']",12757.0,12146.0,5.0,5192.0,5088.0,1000.7,12.75,40.3,10245.0,2220.0,3310.0,4715.0,90.0,1090.0,10245.0,9875.0,37124.0,12575.0,11775.0,800.0,"[(43.037725, -80.88211)]",['Ingersoll'],2013,False
790,,Wednesday,T,2015,ingersoll,ingersoll times,sun media corporation,580.0,ON,580.0,sun media corporation,"['ingersoll ,ON, Canada']",12757.0,12146.0,5.0,5192.0,5088.0,1000.7,12.75,40.3,10245.0,2220.0,3310.0,4715.0,90.0,1090.0,10245.0,9875.0,37124.0,12575.0,11775.0,800.0,"[(43.037725, -80.88211)]",['Ingersoll'],2013,False
791,,Wednesday,T,2016,ingersoll,ingersoll times,sun media corporation,532.0,ON,532.0,postmedia network inc.,"['ingersoll ,ON, Canada']",12757.0,12146.0,5.0,5192.0,5088.0,1000.7,12.75,40.3,10245.0,2220.0,3310.0,4715.0,90.0,1090.0,10245.0,9875.0,37124.0,12575.0,11775.0,800.0,"[(43.037725, -80.88211)]",['Ingersoll'],2013,False
792,,Wednesday,T,2017,ingersoll,ingersoll times,postmedia network inc.,,ON,,postmedia network inc.,"['ingersoll ,ON, Canada']",12757.0,12146.0,5.0,5192.0,5088.0,1000.7,12.75,40.3,10245.0,2220.0,3310.0,4715.0,90.0,1090.0,10245.0,9875.0,37124.0,12575.0,11775.0,800.0,"[(43.037725, -80.88211)]",['Ingersoll'],2013,True
793,,Wednesday,T,2018,ingersoll,ingersoll times,postmedia network inc.,,ON,,postmedia network inc.,"['ingersoll ,ON, Canada']",12757.0,12146.0,5.0,5192.0,5088.0,1000.7,12.75,40.3,10245.0,2220.0,3310.0,4715.0,90.0,1090.0,10245.0,9875.0,37124.0,12575.0,11775.0,800.0,"[(43.037725, -80.88211)]",['Ingersoll'],2013,True
794,10726.0,Thursday,T,2013,innisfil,innisfil journal,metroland media group ltd.,0.0,ON,10726.0,metroland media group ltd.,"['innisfil ,ON, Canada']",36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0,"[(44.3150892, -79.5461073)]",['Innisfil'],2013,False
795,10891.0,Thursday,T,2014,innisfil,innisfil journal,metroland media group ltd.,,ON,10891.0,metroland media group ltd.,"['innisfil ,ON, Canada']",36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0,"[(44.3150892, -79.5461073)]",['Innisfil'],2013,False
796,11376.0,Thursday,T,2015,innisfil,innisfil journal,metroland media group ltd.,,ON,11376.0,metroland media group ltd.,"['innisfil ,ON, Canada']",36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0,"[(44.3150892, -79.5461073)]",['Innisfil'],2013,False
797,11661.0,Thursday,T,2016,innisfil,innisfil journal,metroland media group ltd.,,ON,11661.0,metroland media group ltd.,"['innisfil ,ON, Canada']",36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0,"[(44.3150892, -79.5461073)]",['Innisfil'],2013,False
798,11848.0,Thursday,T,2017,innisfil,innisfil journal,metroland media group ltd.,,ON,11848.0,metroland media group ltd.,"['innisfil ,ON, Canada']",36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0,"[(44.3150892, -79.5461073)]",['Innisfil'],2013,False
799,11885.0,Thursday,T,2018,innisfil,innisfil journal,metroland media group ltd.,,ON,11885.0,metroland media group ltd.,"['innisfil ,ON, Canada']",36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0,"[(44.3150892, -79.5461073)]",['Innisfil'],2013,False
800,11866.0,Thursday,T,2019,innisfil,innisfil journal,metroland media group ltd.,,ON,11866.0,metroland media group ltd.,"['innisfil ,ON, Canada']",36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0,"[(44.3150892, -79.5461073)]",['Innisfil'],2013,False
801,12534.0,Wednesday,T,2013,innisfil,innisfil scope,london publishing corporation,104.0,ON,12638.0,london publishing corporation,"['innisfil ,ON, Canada']",36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0,"[(44.3150892, -79.5461073)]",['Innisfil'],2013,False
802,126.0,Thursday,B,2013,iroquois%20falls,iroquois falls enterprise,william c. cavell enterprises ltd.,2106.0,ON,2232.0,william c. cavell enterprises ltd.,"['iroquois falls ,ON, Canada']",4537.0,4595.0,-1.3,2245.0,2029.0,7.6,600.01,45.8,3805.0,1000.0,925.0,1880.0,45.0,350.0,3780.0,3650.0,36309.0,4415.0,4330.0,80.0,"[(48.7672213, -80.6770998)]",['Iroquois Falls'],2013,False
803,30.0,Wednesday,T,2013,hornepayne,jackfish journal,lisa stewart,263.0,ON,293.0,lisa stewart,"['hornepayne ,ON, Canada']",980.0,1050.0,-6.7,514.0,408.0,4.8,204.07,40.5,800.0,255.0,275.0,270.0,15.0,40.0,810.0,775.0,49920.0,965.0,945.0,10.0,"[(49.2181387, -84.7752864)]",['Hornepayne'],2013,False
804,,Wednesday,T,2014,hornepayne,jackfish journal,lisa stewart,249.0,ON,279.0,lisa stewart,"['hornepayne ,ON, Canada']",980.0,1050.0,-6.7,514.0,408.0,4.8,204.07,40.5,800.0,255.0,275.0,270.0,15.0,40.0,810.0,775.0,49920.0,965.0,945.0,10.0,"[(49.2181387, -84.7752864)]",['Hornepayne'],2013,False
805,,Wednesday,T,2015,hornepayne,jackfish journal,lisa stewart,235.0,ON,265.0,lisa stewart,"['hornepayne ,ON, Canada']",980.0,1050.0,-6.7,514.0,408.0,4.8,204.07,40.5,800.0,255.0,275.0,270.0,15.0,40.0,810.0,775.0,49920.0,965.0,945.0,10.0,"[(49.2181387, -84.7752864)]",['Hornepayne'],2013,False
806,,Wednesday,T,2016,hornepayne,jackfish journal,,224.0,ON,254.0,lisa stewart,"['hornepayne ,ON, Canada']",980.0,1050.0,-6.7,514.0,408.0,4.8,204.07,40.5,800.0,255.0,275.0,270.0,15.0,40.0,810.0,775.0,49920.0,965.0,945.0,10.0,"[(49.2181387, -84.7752864)]",['Hornepayne'],2013,False
