,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,CSDs,first_year,equal_to_previous
816,6976.0,Thursday,T,2013,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,0.0,ON,6976.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
817,7011.0,Thursday,T,2014,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,,ON,7011.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
818,6869.0,Thursday,T,2015,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,,ON,6869.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
819,7170.0,Thursday,T,2016,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,,ON,7170.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
820,6896.0,Thursday,T,2017,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,,ON,6896.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
0,812.0,Wednesday,T,2013,london&sarnia&woodstock,action l,altomedia inc.,1648.0,ON,2460.0,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,False
1,,Wednesday,T,2014,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
2,,Wednesday,T,2015,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
3,,Wednesday,T,2016,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
4,,Wednesday,T,2017,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
5,,Wednesday,T,2018,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
6,,Wednesday,T,2019,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
7,0.0,Wednesday,B,2014,flesherton,advance,dundalk herald publishing,1276.0,ON,1276.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",['Grey Highlands'],2014,False
8,,Wednesday,B,2015,flesherton,advance,dundalk herald publishing,1292.0,ON,1292.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",['Grey Highlands'],2014,False
9,,Wednesday,B,2016,flesherton,advance,dundalk herald publishing,1299.0,ON,1299.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",['Grey Highlands'],2014,False
10,,Wednesday,B,2017,flesherton,advance,dundalk herald publishing,1221.0,ON,1221.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",['Grey Highlands'],2014,False
11,0.0,Thursday,T,2014,woodbridge,advertiser,beverley and karl mallette,2750.0,ON,2750.0,beverley and karl mallette,"['woodbridge ,ON, Canada']",306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0,"[(43.7848982, -79.5923855)]",['Vaughan'],2014,False
12,23.0,Wednesday,T,2014,mitchell,advocate,sun media corporation,2036.0,ON,2059.0,sun media corporation,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",['West Perth'],2014,False
13,22.0,Wednesday,T,2015,mitchell,advocate,sun media corporation,1977.0,ON,1999.0,sun media corporation,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",['West Perth'],2014,False
14,29.0,Wednesday,T,2016,mitchell,advocate,sun media corporation,1841.0,ON,1870.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",['West Perth'],2014,False
15,18.0,Wednesday,T,2017,mitchell,advocate,postmedia network inc.,1745.0,ON,1763.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",['West Perth'],2014,False
16,0.0,Thursday,T,2014,strathroy,age dispatch,sun media corporation,1480.0,ON,1480.0,sun media corporation,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc'],2014,False
17,,Thursday,T,2015,strathroy,age dispatch,sun media corporation,843.0,ON,843.0,sun media corporation,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc'],2014,False
18,,Thursday,T,2016,strathroy,age dispatch,sun media corporation,,ON,,postmedia network inc.,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc'],2014,True
19,,Thursday,T,2017,strathroy,age dispatch,postmedia network inc.,,ON,,postmedia network inc.,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc'],2014,True
20,,Thursday,T,2018,strathroy,age dispatch,postmedia network inc.,,ON,,postmedia network inc.,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",['Strathroy-Caradoc'],2014,True
21,15150.0,Thursday,T,2019,strathroy&middlesex,age dispatch,postmedia network inc.,0.0,ON,15150.0,postmedia network inc.,"['strathroy ,ON, Canada', 'middlesex ,ON, Canada']",17029.0,16989.0,0.5,6808.5,6609.0,53.75,352.38,42.0,13942.5,2922.5,4055.0,6962.5,227.5,1772.5,13942.5,13475.0,38567.5,16857.5,14957.5,1892.5,"[(42.966146, -81.59100834347846), (42.9791385, -80.9305313)]","['Strathroy-Caradoc', 'Thames Centre']",2014,False
23,22127.0,Thursday,T,2013,alliston,alliston herald,metroland media group ltd.,0.0,ON,22127.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,False
24,22266.0,Thursday,T,2014,alliston,alliston herald,metroland media group ltd.,,ON,22266.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,False
26,22403.0,Thursday,T,2015,alliston,alliston herald,metroland media group ltd.,,ON,22403.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,False
29,22860.0,Thursday,T,2016,alliston,alliston herald,metroland media group ltd.,,ON,22860.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,False
30,23199.0,Thursday,T,2017,alliston,alliston herald,metroland media group ltd.,,ON,23199.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,False
31,23229.0,Thursday,T,2018,alliston,alliston herald,metroland media group ltd.,,ON,23229.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,False
32,22879.0,Thursday,T,2019,alliston,alliston herald,metroland media group ltd.,,ON,22879.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,False
22,0.0,Tuesday,B,2013,alliston,alliston herald,metroland media group ltd.,670.0,ON,670.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,False
25,,Tuesday,B,2014,alliston,alliston herald,metroland media group ltd.,,ON,,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,True
27,,Tuesday,B,2015,alliston,alliston herald,metroland media group ltd.,,ON,,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,True
28,,Tuesday,B,2016,alliston,alliston herald,metroland media group ltd.,,ON,,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",['New Tecumseth'],2013,True
33,86.0,Thursday,B,2014,burks%20falls,almaguin news,metroland media group ltd.,2497.0,ON,2583.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]","[""Burk's Falls""]",2014,False
34,205.0,Thursday,B,2015,burks%20falls,almaguin news,metroland media group ltd.,2318.0,ON,2523.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]","[""Burk's Falls""]",2014,False
35,150.0,Thursday,B,2016,burks%20falls,almaguin news,metroland media group ltd.,2230.0,ON,2380.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]","[""Burk's Falls""]",2014,False
36,95.0,Thursday,B,2017,burks%20falls,almaguin news,metroland media group ltd.,2123.0,ON,2218.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]","[""Burk's Falls""]",2014,False
37,131.0,Thursday,B,2018,burks%20falls,almaguin news,metroland media group ltd.,1839.0,ON,1970.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]","[""Burk's Falls""]",2014,False
38,104.0,Thursday,B,2019,burks%20falls,almaguin news,metroland media group ltd.,1519.0,ON,1623.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]","[""Burk's Falls""]",2014,False
39,8985.0,Wednesday,T,2013,amherstburg,amherstburg river town times,river town times,0.0,ON,8985.0,river town times,"['amherstburg ,ON, Canada']",21936.0,21556.0,1.8,8951.0,8522.0,118.2,185.61,42.3,18095.0,3015.0,5845.0,9230.0,295.0,2950.0,18090.0,17285.0,39519.0,21655.0,19630.0,1995.0,"[(42.1013315, -83.1086458)]",['Amherstburg'],2013,False
40,12823.0,Thursday,T,2013,ancaster,ancaster news,metroland media group ltd.,0.0,ON,12823.0,metroland media group ltd.,"['ancaster ,ON, Canada']",273929.5,265325.5,2.75,113797.5,107936.0,261.65,686.685,42.9,225242.5,44722.5,64087.5,116435.0,4160.0,45660.0,225242.5,215687.5,35990.5,269427.5,200617.5,65692.5,"[(43.225693, -79.976692)]",['Hamilton'],2013,False
