,index,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,CSDs,Year_only
42,141,55.0,2017,18360.0,18360.0,0.0,0.0,metroland media group ltd.,18657.0,2.06,,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2017
43,142,55.0,2018,19199.0,19199.0,0.0,0.0,metroland media group ltd.,18437.0,2.06,,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2018
44,143,55.0,2019,19290.0,19290.0,0.0,0.0,metroland media group ltd.,19199.0,2.06,,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,['Caledon'],2019
45,144,58.0,2013,48113.0,48113.0,0.0,0.0,metroland media group ltd.,48159.0,1.84,335.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2013
46,145,58.0,2014,48367.0,48367.0,0.0,0.0,metroland media group ltd.,48113.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2014
47,146,58.0,2015,48168.0,48168.0,0.0,0.0,metroland media group ltd.,48224.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2015
48,147,58.0,2016,46877.0,46877.0,0.0,0.0,metroland media group ltd.,48168.0,2.22,,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2016
49,148,58.0,2017,46295.0,46295.0,0.0,0.0,metroland media group ltd.,46877.0,2.22,,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2017
50,149,58.0,2018,45733.0,45733.0,0.0,0.0,metroland media group ltd.,46295.0,2.22,,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2018
51,150,58.0,2019,44949.0,44949.0,0.0,0.0,metroland media group ltd.,46295.0,2.22,,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2019
52,151,59.0,2013,43185.0,43185.0,0.0,0.0,metroland media group ltd.,43045.0,1.84,335.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2013
53,152,59.0,2014,43389.0,43389.0,0.0,0.0,metroland media group ltd.,43185.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2014
54,153,59.0,2015,42956.0,42956.0,0.0,0.0,metroland media group ltd.,43067.0,2.01,1160.0,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2015
55,154,59.0,2016,41666.0,41666.0,0.0,0.0,metroland media group ltd.,42956.0,2.01,,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2016
56,155,59.0,2017,41054.0,41054.0,0.0,0.0,metroland media group ltd.,41666.0,2.01,,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2017
57,156,59.0,2018,40898.0,40898.0,0.0,0.0,metroland media group ltd.,41054.0,2.01,,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2018
58,157,59.0,2019,40511.0,40511.0,0.0,0.0,metroland media group ltd.,41054.0,2.01,,1160.0,cambridge times,cambridge times,cambridge times,['Cambridge'],2019
59,165,65.0,2013,12812.0,12812.0,0.0,0.0,metroland media group ltd.,12509.0,0.87,335.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2013
60,166,65.0,2014,12814.0,12814.0,0.0,0.0,metroland media group ltd.,12812.0,0.61,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2014
61,167,65.0,2015,13376.0,13376.0,0.0,0.0,metroland media group ltd.,13125.0,0.71,1160.0,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2015
62,168,65.0,2016,12246.0,12246.0,0.0,0.0,metroland media group ltd.,13376.0,0.71,,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2016
63,169,65.0,2017,11690.0,11690.0,0.0,0.0,metroland media group ltd.,12246.0,0.71,,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2017
64,170,65.0,2018,11615.0,11615.0,0.0,0.0,metroland media group ltd.,11690.0,0.71,,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2018
65,171,65.0,2019,11326.0,11326.0,0.0,0.0,metroland media group ltd.,11547.0,0.71,,1160.0,carleton placealmonte canadian gazette,carleton place almonte canadian gazette,carleton placealmonte canadian gazette,"['Mississippi Mills', 'Carleton Place']",2019
68,207,85.0,2013,18117.0,18117.0,0.0,0.0,metroland media group ltd.,18105.0,1.7,335.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2013
69,208,85.0,2014,15746.0,15746.0,0.0,0.0,metroland media group ltd.,18117.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2014
70,209,85.0,2015,15456.0,15456.0,0.0,0.0,metroland media group ltd.,15745.0,1.85,1160.0,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2015
71,210,85.0,2016,15413.0,15413.0,0.0,0.0,metroland media group ltd.,15415.0,1.85,,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2016
72,211,85.0,2017,15071.0,15071.0,0.0,0.0,metroland media group ltd.,15413.0,1.85,,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2017
73,212,85.0,2018,15061.0,15061.0,0.0,0.0,metroland media group ltd.,15067.0,1.85,,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2018
74,213,85.0,2019,13990.0,13990.0,0.0,0.0,metroland media group ltd.,14638.0,1.85,,1160.0,dundas star news,dundas star news,dundas star news,['Hamilton'],2019
75,214,86.0,2015,7326.0,7326.0,0.0,0.0,metroland media group ltd.,7550.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2015
76,215,86.0,2016,7276.0,7276.0,0.0,0.0,metroland media group ltd.,7443.0,0.54,,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2016
77,216,86.0,2017,,,0.0,0.0,metroland media group ltd.,7276.0,0.54,,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2017
78,217,86.0,2018,,,0.0,0.0,metroland media group ltd.,7276.0,0.54,,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2018
79,218,86.0,2019,7229.0,7229.0,0.0,0.0,metroland media group ltd.,7259.0,0.54,,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2019
80,219,87.0,2013,34923.0,34923.0,0.0,0.0,metroland media group ltd.,55569.0,5.49,335.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2013
81,220,87.0,2014,34705.0,34705.0,0.0,0.0,metroland media group ltd.,56393.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2014
82,221,87.0,2015,36764.0,36764.0,0.0,0.0,metroland media group ltd.,56734.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2015
83,222,87.0,2016,35300.0,35300.0,0.0,0.0,metroland media group ltd.,58355.0,6.0,,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2016
84,223,87.0,2017,,,0.0,0.0,metroland media group ltd.,57549.0,6.0,,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2017
85,224,87.0,2018,46834.0,46834.0,0.0,0.0,metroland media group ltd.,57123.0,6.18,,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2018
86,248,104.0,2013,69376.0,69376.0,0.0,0.0,metroland media group ltd.,69433.0,6.08,335.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2013
87,249,104.0,2014,68897.0,68897.0,0.0,0.0,metroland media group ltd.,69333.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2014
88,250,104.0,2015,73755.0,73755.0,0.0,0.0,metroland media group ltd.,70109.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2015
89,251,104.0,2016,70703.0,70703.0,0.0,0.0,metroland media group ltd.,71507.0,6.64,,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2016
90,252,104.0,2017,,,0.0,0.0,metroland media group ltd.,70703.0,6.64,,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2017
91,253,104.0,2018,,,0.0,0.0,metroland media group ltd.,68437.0,6.84,,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2018
92,254,104.0,2019,67654.0,67654.0,0.0,0.0,metroland media group ltd.,67721.0,6.84,,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2019
93,279,141.0,2013,17095.0,17095.0,0.0,0.0,metroland media group ltd.,17008.0,1.92,335.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2013
94,280,141.0,2014,17530.0,17530.0,0.0,0.0,metroland media group ltd.,17139.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2014
95,281,141.0,2015,,,0.0,0.0,metroland media group ltd.,17530.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2015
96,282,141.0,2016,17190.0,17190.0,0.0,0.0,metroland media group ltd.,17539.0,2.1,,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2016
97,283,141.0,2017,,,0.0,0.0,metroland media group ltd.,17190.0,2.1,,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2017
98,284,141.0,2018,,,0.0,0.0,metroland media group ltd.,17190.0,2.1,,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2018
99,285,141.0,2019,17075.0,17075.0,0.0,0.0,metroland media group ltd.,16877.0,2.1,,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2019
100,299,152.0,2014,44735.0,44735.0,0.0,0.0,metroland media group ltd.,44263.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2014
101,300,152.0,2015,44048.0,44048.0,0.0,0.0,metroland media group ltd.,44326.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2015
102,301,152.0,2016,44637.0,44637.0,0.0,0.0,metroland media group ltd.,43993.0,2.22,,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2016
103,302,152.0,2017,43727.0,43727.0,0.0,0.0,metroland media group ltd.,43993.0,2.22,,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2017
104,303,152.0,2018,43457.0,43457.0,0.0,0.0,metroland media group ltd.,43515.0,2.22,,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2018
105,304,152.0,2019,42737.0,42737.0,0.0,0.0,metroland media group ltd.,43257.0,2.22,,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2019
106,305,153.0,2013,39475.0,39475.0,0.0,0.0,metroland media group ltd.,39098.0,1.84,335.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2013
107,306,153.0,2014,40177.0,40177.0,0.0,0.0,metroland media group ltd.,39475.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2014
108,307,153.0,2015,39134.0,39134.0,0.0,0.0,metroland media group ltd.,39150.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2015
109,308,153.0,2016,39312.0,39312.0,0.0,0.0,metroland media group ltd.,39091.0,2.01,,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2016
110,309,153.0,2017,38918.0,38918.0,0.0,0.0,metroland media group ltd.,39091.0,2.01,,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2017
111,310,153.0,2018,38716.0,38716.0,0.0,0.0,metroland media group ltd.,38751.0,2.01,,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2018
112,311,153.0,2019,38508.0,38508.0,0.0,0.0,metroland media group ltd.,38508.0,2.01,,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2019
113,321,173.0,2013,7312.0,7312.0,0.0,0.0,the haliburton highlander limited,7312.0,0.95,88.0,88.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2013
114,322,173.0,2014,7430.0,7430.0,0.0,0.0,maple key media,6727.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2014
115,323,173.0,2015,8104.0,8104.0,0.0,0.0,maple key media,7430.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2015
116,324,173.0,2016,8389.0,8389.0,0.0,0.0,maple key media,8104.0,1.61,,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2016
117,325,173.0,2017,8062.0,8062.0,0.0,0.0,the highlander newspaper limited,7313.0,1.61,,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2017
118,326,173.0,2018,8798.0,8798.0,0.0,0.0,the highlander newspaper limited,8722.0,1.61,,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2018
119,327,173.0,2019,,,0.0,0.0,the highlander newspaper limited,8798.0,1.61,,104.0,haliburton highlander,haliburton highlander,highlander,['Dysart et al'],2019
120,353,203.0,2013,10726.0,10726.0,0.0,1.0,metroland media group ltd.,10726.0,1.37,335.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2013
121,354,203.0,2014,10891.0,10891.0,0.0,1.0,metroland media group ltd.,10785.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2014
122,355,203.0,2015,11376.0,11376.0,0.0,1.0,metroland media group ltd.,10998.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2015
123,356,203.0,2016,11661.0,11661.0,0.0,1.0,metroland media group ltd.,11376.0,1.5,,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2016
124,357,203.0,2017,11848.0,11848.0,0.0,1.0,metroland media group ltd.,11661.0,1.5,,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2017
125,358,203.0,2018,11885.0,11885.0,0.0,1.0,metroland media group ltd.,11848.0,1.5,,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2018
126,359,203.0,2019,11866.0,11866.0,0.0,1.0,metroland media group ltd.,11849.0,1.5,,1160.0,innisfil journal,innisfil journal,innisfil journal,['Innisfil'],2019
127,360,211.0,2013,9467.0,9467.0,0.0,0.0,metroland media group ltd.,10391.0,0.8,335.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2013
128,361,211.0,2014,10616.0,10616.0,0.0,0.0,metroland media group ltd.,9467.0,0.56,1160.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2014
129,362,211.0,2015,10471.0,10471.0,0.0,0.0,metroland media group ltd.,10454.0,0.66,1160.0,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2015
130,363,211.0,2016,10640.0,10640.0,0.0,0.0,metroland media group ltd.,10471.0,0.66,,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2016
131,364,211.0,2017,10676.0,10676.0,0.0,0.0,metroland media group ltd.,10640.0,0.66,,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2017
132,365,211.0,2018,10681.0,10681.0,0.0,0.0,metroland media group ltd.,10676.0,0.66,,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2018
133,366,211.0,2019,10742.0,10742.0,0.0,0.0,metroland media group ltd.,10710.0,0.66,,1160.0,kemptville advance,kemptville advance,kemptville advance,['North Grenville'],2019
134,367,213.0,2013,7342.0,7342.0,0.0,0.0,metroland media group ltd.,7342.0,0.63,335.0,1160.0,king connection,king connection,king connection,['Aurora'],2013
135,368,213.0,2014,6688.0,6688.0,0.0,0.0,metroland media group ltd.,5877.0,0.71,1160.0,1160.0,king connection,king connection,king connection,['King'],2014
136,369,213.0,2015,7623.0,7623.0,0.0,0.0,metroland media group ltd.,7515.0,0.71,1160.0,1160.0,king connection,king connection,king connection,['King'],2015
137,370,213.0,2016,6091.0,6091.0,0.0,0.0,metroland media group ltd.,7590.0,0.71,,1160.0,king connection,king connection,king connection,['King'],2016
138,371,213.0,2017,,,0.0,0.0,metroland media group ltd.,6091.0,0.71,,1160.0,king connection,king connection,king connection,['King'],2017
139,372,213.0,2018,,,0.0,0.0,metroland media group ltd.,6091.0,0.71,,1160.0,king connection,king connection,king connection,['King'],2018
140,373,213.0,2019,5019.0,5019.0,0.0,0.0,metroland media group ltd.,5192.0,0.71,,1160.0,king connection,king connection,king connection,['King'],2019
143,396,227.0,2013,11219.0,11219.0,0.0,0.0,postmedia network inc.,11174.0,1.04,129.0,388.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2013
144,397,227.0,2014,,,0.0,0.0,postmedia network inc.,11219.0,1.04,129.0,388.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2014
145,398,227.0,2015,,,0.0,0.0,postmedia network inc.,11219.0,1.08,136.0,408.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2015
146,399,227.0,2016,,,0.0,0.0,postmedia network inc.,11219.0,1.08,,408.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2016
147,400,227.0,2017,,,0.0,0.0,postmedia network inc.,11219.0,1.14,,428.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2017
148,401,227.0,2018,9804.0,9804.0,0.0,0.0,postmedia network inc.,11219.0,1.25,,428.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2018
149,402,227.0,2019,,,0.0,0.0,postmedia network inc.,11219.0,1.25,,428.0,lasalle post,lasalle post,lasalle post,['LaSalle'],2019
150,445,256.0,2015,197792.0,197792.0,0.0,0.0,metroland media group ltd.,125582.0,9.64,1160.0,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2015
151,446,256.0,2016,197547.0,197547.0,0.0,0.0,metroland media group ltd.,125582.0,9.64,,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2016
152,447,256.0,2017,,,0.0,0.0,metroland media group ltd.,165000.0,9.64,,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2017
153,448,256.0,2018,,,0.0,0.0,metroland media group ltd.,165000.0,9.64,,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2018
154,449,256.0,2019,167083.0,167083.0,0.0,0.0,metroland media group ltd.,167250.0,9.64,,1160.0,mississauga news,mississauga news,mississauga news,['Mississauga'],2019
155,450,261.0,2013,50300.0,50300.0,0.0,0.0,metroland media group ltd.,50291.0,2.8,335.0,1160.0,hamilton mountain news,hamilton mountain news,mountain news,['Hamilton'],2013
156,451,261.0,2014,50556.0,50556.0,0.0,0.0,metroland media group ltd.,50300.0,3.06,1160.0,1160.0,hamilton mountain news,hamilton mountain news,mountain news,['Hamilton'],2014
157,452,261.0,2015,50017.0,50017.0,0.0,0.0,metroland media group ltd.,50557.0,3.06,1160.0,1160.0,hamilton mountain news,hamilton mountain news,mountain news,['Hamilton'],2015
158,453,261.0,2016,50062.0,50062.0,0.0,0.0,metroland media group ltd.,50057.0,3.06,,1160.0,hamilton mountain news,hamilton mountain news,mountain news,['Hamilton'],2016
159,454,261.0,2017,49983.0,49983.0,0.0,0.0,metroland media group ltd.,50062.0,3.06,,1160.0,hamilton mountain news,hamilton mountain news,mountain news,['Hamilton'],2017
