,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
130,"hamilton ,ON, Canada",-79.8728583,43.2560802,3525005,Hamilton,C,35,ON,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537.0,35537.0,Hamilton,B,3514019.0,35.0,ON,14.0,Northumberland,19.0,Hamilton,10942.0,10702.0,2.2,4677.0,4276.0,42.7,256.08,44.5,9430.0,1570.0,2730.0,5135.0,165.0,1415.0,9430.0,9120.0,39064.0,10920.0,9900.0,1020.0
131,"hamilton ,ON, Canada",-79.8728583,43.2560802,3525005,Hamilton,C,35,ON,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537.0,35537.0,Hamilton,B,3525005.0,35.0,ON,25.0,Hamilton,5.0,Hamilton,536917.0,519949.0,3.3,222918.0,211596.0,480.6,1117.29,41.3,441055.0,87875.0,125445.0,227735.0,8155.0,89905.0,441055.0,422255.0,32917.0,527935.0,391335.0,130365.0
132,"thamesville ,ON, Canada",-81.9771193,42.5518069,3536020,Chatham-Kent,MU,35,ON,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556.0,35556.0,Chatham-Kent,D,3536020.0,35.0,ON,36.0,Chatham-Kent,20.0,Chatham-Kent,101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0
133,"wilberforce ,ON, Canada",-78.2229057,45.0369198,3546005,Highlands East,MU,35,ON,3546,Haliburton,CTY,3546005,Highlands East,3520,Muskoka--Kawarthas,997,5,,,,,3546005.0,35.0,ON,46.0,Haliburton,5.0,Highlands East,3343.0,3249.0,2.9,4485.0,1611.0,4.7,704.63,52.6,3000.0,820.0,860.0,1320.0,50.0,225.0,3035.0,2935.0,25104.0,3330.0,3090.0,245.0
134,"kapuskasing ,ON, Canada",-82.433333,49.416667,3556066,Kapuskasing,T,35,ON,3556,Cochrane,DIS,3556092,"Cochrane, Unorganized, North Part",3590,Northeast / Nord-est,998,6,,,,,3556066.0,35.0,ON,56.0,Cochrane,66.0,Kapuskasing,8292.0,8196.0,1.2,4087.0,3801.0,98.3,84.37,44.2,6825.0,1785.0,1850.0,3190.0,80.0,655.0,6825.0,6660.0,33302.0,8115.0,7950.0,165.0
135,"huntsville ,ON, Canada",-79.218434,45.3263919,3544042,Huntsville,T,35,ON,3544,Muskoka,DM,3544042,Huntsville,3520,Muskoka--Kawarthas,998,6,,,,,3544042.0,35.0,ON,44.0,Muskoka,42.0,Huntsville,19816.0,19056.0,4.0,10524.0,8111.0,27.9,710.01,44.8,16540.0,2910.0,5020.0,8615.0,250.0,2810.0,16545.0,16200.0,32006.0,19375.0,17910.0,1435.0
136,"seaforth ,ON, Canada",-81.3934183,43.5534328,3540040,Huron East,MU,35,ON,3540,Huron,CTY,3540040,Huron East,3580,Stratford--Bruce Peninsula,997,5,,,,,3540040.0,35.0,ON,40.0,Huron,40.0,Huron East,9138.0,9264.0,-1.4,3825.0,3630.0,13.7,669.22,41.4,7355.0,1870.0,2170.0,3315.0,130.0,705.0,7355.0,7140.0,33519.0,9000.0,8305.0,665.0
137,"port colborne ,ON, Canada",-79.2513905,42.8862392,3526011,Port Colborne,CY,35,ON,3526,Niagara,RM,3526011,Port Colborne,3550,Hamilton--Niagara Peninsula,539,1,539.0,35539.0,St. Catharines - Niagara,B,3526011.0,35.0,ON,26.0,Niagara,11.0,Port Colborne,18306.0,18424.0,-0.6,9825.0,8018.0,150.1,121.96,46.5,15415.0,3440.0,4855.0,7115.0,200.0,1540.0,15415.0,14900.0,29977.0,17865.0,15985.0,1835.0
138,"st. marys ,ON, Canada",-81.1408629,43.2570855,3531016,St. Marys,T,35,ON,3531,Perth,CTY,3531013,Perth South,3580,Stratford--Bruce Peninsula,996,4,,,,,3531016.0,35.0,ON,31.0,Perth,16.0,St. Marys,7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0
139,"ridgetown ,ON, Canada",-81.8821334,42.4394208,3536020,Chatham-Kent,MU,35,ON,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556.0,35556.0,Chatham-Kent,D,3536020.0,35.0,ON,36.0,Chatham-Kent,20.0,Chatham-Kent,101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0
140,"tillsonburg ,ON, Canada",-80.7265015,42.859494,3532004,Tillsonburg,T,35,ON,3532,Oxford,CTY,3532012,South-West Oxford,3560,London,546,3,546.0,35546.0,Tillsonburg,D,3532004.0,35.0,ON,32.0,Oxford,4.0,Tillsonburg,15872.0,15301.0,3.7,7297.0,7127.0,710.8,22.33,46.2,13255.0,3445.0,4335.0,5480.0,180.0,1390.0,13255.0,12840.0,32240.0,15595.0,13705.0,1875.0
