,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
161,"hawkesbury ,ON, Canada",-74.6055611,45.610281,3502008,Hawkesbury,T,35,ON,3502,Prescott and Russell,UC,3502010,Champlain,3510,Ottawa,502,3,502.0,35502.0,Hawkesbury (Ontario part / partie de l'Ontario),D,3502008.0,35.0,ON,2.0,Prescott and Russell,8.0,Hawkesbury,10263.0,10551.0,-2.7,5231.0,4956.0,1067.3,9.62,48.2,8535.0,2700.0,2735.0,3100.0,180.0,630.0,8535.0,8255.0,25317.0,9820.0,9465.0,325.0
162,"hearst ,ON, Canada",-83.666382,49.690732,3556076,Hearst,T,35,ON,3556,Cochrane,DIS,3556092,"Cochrane, Unorganized, North Part",3590,Northeast / Nord-est,998,6,,,,,3556076.0,35.0,ON,56.0,Cochrane,76.0,Hearst,5070.0,5090.0,-0.4,2466.0,2379.0,51.5,98.52,45.0,4240.0,1210.0,970.0,2060.0,85.0,565.0,4240.0,4185.0,36531.0,4975.0,4895.0,75.0
163,"sudbury ,ON, Canada",-80.991211,46.49272,3553005,Greater Sudbury / Grand Sudbury,CV,35,ON,3553,Greater Sudbury / Grand Sudbury,CDR,3553005,Greater Sudbury / Grand Sudbury,3590,Northeast / Nord-est,580,1,580.0,35580.0,Greater Sudbury / Grand Sudbury,B,3553005.0,35.0,ON,53.0,Greater Sudbury / Grand Sudbury,5.0,Greater Sudbury / Grand Sudbury,161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0
164,"dresden ,ON, Canada",-82.1795314,42.5909853,3536020,Chatham-Kent,MU,35,ON,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556.0,35556.0,Chatham-Kent,D,3536020.0,35.0,ON,36.0,Chatham-Kent,20.0,Chatham-Kent,101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0
165,"bothwell ,ON, Canada",-81.8707447,42.6309355,3536020,Chatham-Kent,MU,35,ON,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556.0,35556.0,Chatham-Kent,D,3536020.0,35.0,ON,36.0,Chatham-Kent,20.0,Chatham-Kent,101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0
166,"leamington ,ON, Canada",-82.5996998,42.0531166,3537003,Leamington,MU,35,ON,3537,Essex,CTY,3537003,Leamington,3570,Windsor--Sarnia,557,3,557.0,35557.0,Leamington,D,3537003.0,35.0,ON,37.0,Essex,3.0,Leamington,27595.0,28403.0,-2.8,10726.0,9995.0,105.3,262.01,41.3,20980.0,7620.0,6100.0,7255.0,260.0,1880.0,20975.0,20245.0,29900.0,25955.0,18685.0,6810.0
167,"listowel ,ON, Canada",-80.952882,43.731593,3531040,North Perth,MU,35,ON,3531,Perth,CTY,3531040,North Perth,3580,Stratford--Bruce Peninsula,997,5,,,,,3531040.0,35.0,ON,31.0,Perth,40.0,North Perth,13130.0,12631.0,4.0,5340.0,5098.0,26.6,493.14,39.9,10270.0,2980.0,3265.0,4025.0,155.0,905.0,10270.0,10040.0,35115.0,12940.0,11765.0,1105.0
168,"geraldton ,ON, Canada",-86.9493168,49.7188752,3558075,Greenstone,MU,35,ON,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,,3558075.0,35.0,ON,58.0,Thunder Bay,75.0,Greenstone,4636.0,4724.0,-1.9,2592.0,2038.0,1.7,2767.19,42.5,3775.0,1220.0,925.0,1630.0,75.0,410.0,3790.0,3680.0,34842.0,4570.0,4425.0,145.0
169,"lucknow ,ON, Canada",-81.5172512,43.961848,3541015,Huron-Kinloss,TP,35,ON,3541,Bruce,CTY,3541015,Huron-Kinloss,3580,Stratford--Bruce Peninsula,998,6,,,,,3541015.0,35.0,ON,41.0,Bruce,15.0,Huron-Kinloss,7069.0,6790.0,4.1,4037.0,2777.0,16.0,440.76,43.4,5590.0,1265.0,1365.0,2955.0,125.0,805.0,5590.0,5425.0,34197.0,6870.0,6375.0,485.0
170,"manitoulin island ,ON, Canada",-82.21460502,45.7563115,3551006,Central Manitoulin,MU,35,ON,3551,Manitoulin,DIS,3551017,Northeastern Manitoulin and the Islands,3590,Northeast / Nord-est,998,6,,,,,3551006.0,35.0,ON,51.0,Manitoulin,6.0,Central Manitoulin,2084.0,1958.0,6.4,1629.0,955.0,4.8,431.11,51.3,1835.0,390.0,490.0,950.0,30.0,330.0,1810.0,1775.0,29675.0,2030.0,1915.0,105.0
171,"gore bay ,ON, Canada",-82.4640868,45.9167876,3551026,Gore Bay,T,35,ON,3551,Manitoulin,DIS,3551027,Gordon/Barrie Island,3590,Northeast / Nord-est,998,6,,,,,3551026.0,35.0,ON,51.0,Manitoulin,26.0,Gore Bay,867.0,850.0,2.0,447.0,406.0,165.7,5.23,51.4,665.0,130.0,175.0,365.0,35.0,135.0,700.0,700.0,33664.0,745.0,685.0,65.0
172,"manitouwadge ,ON, Canada",-85.8384058,49.121541,3558066,Manitouwadge,TP,35,ON,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,,3558066.0,35.0,ON,58.0,Thunder Bay,66.0,Manitouwadge,1937.0,2105.0,-8.0,1082.0,894.0,5.5,352.07,45.3,1700.0,485.0,395.0,820.0,40.0,150.0,1670.0,1605.0,29824.0,1925.0,1750.0,170.0
173,"manotick ,ON, Canada",-75.6860593,45.2264407,3506008,Ottawa,CV,35,ON,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3506008.0,35.0,ON,6.0,Ottawa,8.0,Ottawa,934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0
174,"stratford ,ON, Canada",-80.9818016,43.3700899,3531011,Stratford,CY,35,ON,3531,Perth,CTY,3531013,Perth South,3580,Stratford--Bruce Peninsula,553,3,553.0,35553.0,Stratford,D,3531011.0,35.0,ON,31.0,Perth,11.0,Stratford,31465.0,30903.0,1.8,14302.0,13847.0,1112.5,28.28,43.8,25980.0,5080.0,8195.0,12705.0,460.0,4735.0,25980.0,25370.0,35352.0,30625.0,27065.0,3475.0
175,"mattawa ,ON, Canada",-78.703308,46.317296,3548021,Mattawa,T,35,ON,3548,Nipissing,DIS,3548094,"Nipissing, Unorganized, North Part",3590,Northeast / Nord-est,997,5,,,,,3548021.0,35.0,ON,48.0,Nipissing,21.0,Mattawa,1993.0,2023.0,-1.5,979.0,891.0,544.8,3.66,47.1,1680.0,540.0,445.0,690.0,45.0,70.0,1640.0,1590.0,23899.0,1895.0,1825.0,70.0
176,"meaford ,ON, Canada",-80.5916531,44.6069298,3542047,Meaford,MU,35,ON,3542,Grey,CTY,3542047,Meaford,3580,Stratford--Bruce Peninsula,996,4,,,,,3542047.0,35.0,ON,42.0,Grey,47.0,Meaford,10991.0,11100.0,-1.0,5590.0,4830.0,18.7,588.57,47.9,9430.0,1740.0,2520.0,5165.0,140.0,1670.0,9425.0,9190.0,32198.0,10845.0,9700.0,1145.0
177,"marathon ,ON, Canada",-86.371598,48.7209349,3558059,Marathon,T,35,ON,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,,3558059.0,35.0,ON,58.0,Thunder Bay,59.0,Marathon,3273.0,3353.0,-2.4,1643.0,1445.0,19.2,170.54,42.2,2710.0,565.0,710.0,1430.0,20.0,310.0,2750.0,2645.0,38000.0,3260.0,3130.0,130.0
178,"lucan ,ON, Canada",-81.4031356,43.1878148,3539060,Lucan Biddulph,TP,35,ON,3539,Middlesex,CTY,3539060,Lucan Biddulph,3560,London,996,4,,,,,3539060.0,35.0,ON,39.0,Middlesex,60.0,Lucan Biddulph,4700.0,4338.0,8.3,1837.0,1785.0,27.8,169.14,39.4,3750.0,560.0,1065.0,2125.0,80.0,555.0,3730.0,3600.0,41744.0,4640.0,4360.0,285.0
179,"ailsa craig ,ON, Canada",-81.5336236,43.1471072,3539041,North Middlesex,MU,35,ON,3539,Middlesex,CTY,3539041,North Middlesex,3560,London,996,4,,,,,3539041.0,35.0,ON,39.0,Middlesex,41.0,North Middlesex,6352.0,6658.0,-4.6,2399.0,2336.0,10.6,597.88,41.5,4980.0,1045.0,1300.0,2635.0,70.0,610.0,4995.0,4860.0,35537.0,6140.0,5690.0,440.0
180,"ilderton ,ON, Canada",-81.3751432,43.0812001,3539033,Middlesex Centre,MU,35,ON,3539,Middlesex,CTY,3539033,Middlesex Centre,3560,London,555,1,555.0,35555.0,London,B,3539033.0,35.0,ON,39.0,Middlesex,33.0,Middlesex Centre,17262.0,16487.0,4.7,6139.0,5983.0,29.4,588.11,41.1,13550.0,1770.0,3385.0,8390.0,265.0,3465.0,13550.0,13080.0,45800.0,16895.0,15025.0,1805.0
181,"midland ,ON, Canada",-79.885712,44.750147,3543074,Midland,T,35,ON,3543,Simcoe,CTY,3543071,Tay,3540,Kitchener--Waterloo--Barrie,571,3,571.0,35571.0,Midland,D,3543074.0,35.0,ON,43.0,Simcoe,74.0,Midland,16864.0,16572.0,1.8,7739.0,7374.0,477.3,35.34,46.4,14055.0,3115.0,4545.0,6395.0,140.0,1845.0,14055.0,13625.0,28377.0,16350.0,14885.0,1440.0
182," penetanguishene ,ON, Canada",-79.9339487,44.7688035,3543072,Penetanguishene,T,35,ON,3543,Simcoe,CTY,3543071,Tay,3540,Kitchener--Waterloo--Barrie,571,3,571.0,35571.0,Midland,D,3543072.0,35.0,ON,43.0,Simcoe,72.0,Penetanguishene,8962.0,9111.0,-1.6,3990.0,3679.0,350.3,25.58,46.1,7230.0,1755.0,2200.0,3275.0,70.0,850.0,7230.0,6985.0,31088.0,8370.0,7795.0,555.0
183,"millbrook ,ON, Canada",-78.4475977,44.1511443,3515013,Cavan Monaghan,TP,35,ON,3515,Peterborough,CTY,3515013,Cavan Monaghan,3520,Muskoka--Kawarthas,529,1,529.0,35529.0,Peterborough,B,3515013.0,35.0,ON,15.0,Peterborough,13.0,Cavan Monaghan,8829.0,8601.0,2.7,3271.0,3187.0,28.8,306.33,43.1,7190.0,1130.0,1980.0,4085.0,125.0,1205.0,7190.0,6910.0,38508.0,8625.0,8030.0,565.0
184,"minden ,ON, Canada",-78.72493,44.9254436,3546015,Minden Hills,TP,35,ON,3546,Haliburton,CTY,3546015,Minden Hills,3520,Muskoka--Kawarthas,997,5,,,,,3546015.0,35.0,ON,46.0,Haliburton,15.0,Minden Hills,6088.0,5655.0,7.7,6092.0,2833.0,6.9,878.27,51.4,5380.0,1100.0,1540.0,2735.0,75.0,730.0,5380.0,5280.0,29447.0,6005.0,5525.0,480.0
185,"harriston ,ON, Canada",-80.8690127,43.9118312,3523043,Minto,T,35,ON,3523,Wellington,CTY,3523043,Minto,3540,Kitchener--Waterloo--Barrie,997,5,,,,,3523043.0,35.0,ON,23.0,Wellington,43.0,Minto,8671.0,8334.0,4.0,3370.0,3247.0,28.8,300.69,42.1,6675.0,1875.0,2035.0,2775.0,100.0,600.0,6680.0,6450.0,33141.0,8225.0,7650.0,510.0
186,"mississauga ,ON, Canada",-79.6443879,43.5896231,3521005,Mississauga,CY,35,ON,3521,Peel,RM,3521010,Brampton,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3521005.0,35.0,ON,21.0,Peel,5.0,Mississauga,721599.0,713443.0,1.1,248469.0,240913.0,2467.6,292.43,39.6,594760.0,90000.0,155850.0,348915.0,17200.0,199345.0,594765.0,560950.0,31311.0,715475.0,320750.0,381735.0
187,"morrisburg ,ON, Canada",-75.1829545,44.8977043,3501020,South Dundas,MU,35,ON,3501,"Stormont, Dundas and Glengarry",UC,3501020,South Dundas,3510,Ottawa,997,5,,,,,3501020.0,35.0,ON,1.0,"Stormont, Dundas and Glengarry",20.0,South Dundas,10833.0,10794.0,0.4,4830.0,4555.0,20.8,521.06,45.7,9080.0,2175.0,2780.0,4125.0,175.0,900.0,9080.0,8780.0,32117.0,10695.0,10010.0,685.0
188,"muskoka ,ON, Canada",-79.3839611,45.1307013,3544018,Bracebridge,T,35,ON,3544,Muskoka,DM,3544018,Bracebridge,3520,Muskoka--Kawarthas,997,5,,,,,3544018.0,35.0,ON,44.0,Muskoka,18.0,Bracebridge,16010.0,15414.0,3.9,8874.0,6734.0,25.5,628.22,46.3,13385.0,2265.0,4320.0,6800.0,210.0,2315.0,13385.0,13135.0,33673.0,15570.0,14445.0,1105.0
189,"napanee ,ON, Canada",-76.9505543,44.2473883,3511015,Greater Napanee,T,35,ON,3511,Lennox and Addington,CTY,3511015,Greater Napanee,3515,Kingston--Pembroke,996,4,,,,,3511015.0,35.0,ON,11.0,Lennox and Addington,15.0,Greater Napanee,15892.0,15511.0,2.5,7206.0,6580.0,34.5,461.17,45.7,13030.0,2645.0,4215.0,6170.0,185.0,1535.0,13030.0,12545.0,31627.0,15360.0,14420.0,910.0
190,"lennox ,ON, Canada",-77.1060061,44.5861252,3511030,Stone Mills,TP,35,ON,3511,Lennox and Addington,CTY,3511030,Stone Mills,3515,Kingston--Pembroke,996,4,,,,,3511030.0,35.0,ON,11.0,Lennox and Addington,30.0,Stone Mills,7702.0,7560.0,1.9,3440.0,3011.0,10.9,709.17,42.3,6480.0,1140.0,1840.0,3500.0,65.0,870.0,6445.0,6165.0,36698.0,7685.0,7240.0,445.0
191,"addington ,ON, Canada",-77.367125,45.2883677,3547020,"Brudenell, Lyndoch and Raglan",TP,35,ON,3547,Renfrew,CTY,3547020,"Brudenell, Lyndoch and Raglan",3515,Kingston--Pembroke,997,5,,,,,3547020.0,35.0,ON,47.0,Renfrew,20.0,"Brudenell, Lyndoch and Raglan",1503.0,1658.0,-9.3,963.0,653.0,2.1,706.24,47.6,1245.0,425.0,335.0,490.0,25.0,105.0,1285.0,1240.0,24896.0,1505.0,1430.0,70.0
192,"nepean ,ON, Canada",-75.7639408,45.3446891,3506008,Ottawa,CV,35,ON,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3506008.0,35.0,ON,6.0,Ottawa,8.0,Ottawa,934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0
193,"new hamburg ,ON, Canada",-80.7097716,43.3784216,3530020,Wilmot,TP,35,ON,3530,Waterloo,RM,3530020,Wilmot,3540,Kitchener--Waterloo--Barrie,541,1,541.0,35541.0,Kitchener - Cambridge - Waterloo,B,3530020.0,35.0,ON,30.0,Waterloo,20.0,Wilmot,20545.0,19223.0,6.9,7612.0,7516.0,77.9,263.78,40.7,16250.0,2855.0,4355.0,9040.0,265.0,3195.0,16250.0,15775.0,43251.0,20290.0,18160.0,2105.0
194,"beeton ,ON, Canada",-79.784557,44.0789618,3543007,New Tecumseth,T,35,ON,3543,Simcoe,CTY,3543007,New Tecumseth,3540,Kitchener--Waterloo--Barrie,535,1,535.0,35535.0,Toronto,B,3543007.0,35.0,ON,43.0,Simcoe,7.0,New Tecumseth,34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0
195,"new tecumseth ,ON, Canada",-79.77443058,44.0818996,3543007,New Tecumseth,T,35,ON,3543,Simcoe,CTY,3543007,New Tecumseth,3540,Kitchener--Waterloo--Barrie,535,1,535.0,35535.0,Toronto,B,3543007.0,35.0,ON,43.0,Simcoe,7.0,New Tecumseth,34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0
196,"terrace bay ,ON, Canada",-87.102356,48.782437,3558054,Terrace Bay,TP,35,ON,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,997,5,,,,,3558054.0,35.0,ON,58.0,Thunder Bay,54.0,Terrace Bay,1611.0,1471.0,9.5,821.0,743.0,10.5,152.82,45.2,1350.0,205.0,380.0,765.0,10.0,190.0,1350.0,1320.0,42138.0,1585.0,1410.0,115.0
197,"schreiber ,ON, Canada",-87.2627416,48.8114595,3558051,Schreiber,TP,35,ON,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,,3558051.0,35.0,ON,58.0,Thunder Bay,51.0,Schreiber,1059.0,1126.0,-6.0,628.0,500.0,28.8,36.8,45.5,950.0,195.0,280.0,470.0,10.0,105.0,920.0,905.0,37120.0,1115.0,1030.0,90.0
198,"ajax ,ON, Canada",-79.0208814,43.8505287,3518005,Ajax,T,35,ON,3518,Durham,RM,3518009,Whitby,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3518005.0,35.0,ON,18.0,Durham,5.0,Ajax,119677.0,109600.0,9.2,38105.0,37549.0,1786.4,67.0,37.3,95545.0,14400.0,27770.0,53370.0,2455.0,23290.0,95545.0,89785.0,36107.0,119175.0,72310.0,46335.0
199,"pickering ,ON, Canada",-79.090576,43.835765,3518001,Pickering,CY,35,ON,3518,Durham,RM,3518001,Pickering,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3518001.0,35.0,ON,18.0,Durham,1.0,Pickering,91771.0,88721.0,3.4,31630.0,30919.0,396.3,231.55,40.4,76110.0,10370.0,22125.0,43610.0,1960.0,19160.0,76110.0,72155.0,38466.0,90995.0,59405.0,31155.0
200,"west lincoln ,ON, Canada",-79.56674111,43.0724658,3526021,West Lincoln,TP,35,ON,3526,Niagara,RM,3526021,West Lincoln,3550,Hamilton--Niagara Peninsula,996,4,,,,,3526021.0,35.0,ON,26.0,Niagara,21.0,West Lincoln,14500.0,13837.0,4.8,5054.0,4967.0,37.4,387.81,39.1,11590.0,2075.0,3715.0,5800.0,175.0,1395.0,11595.0,11175.0,36591.0,14470.0,13025.0,1430.0
201,"niagara on the lake ,ON, Canada",-79.0723264,43.2556116,3526047,Niagara-on-the-Lake,T,35,ON,3526,Niagara,RM,3526047,Niagara-on-the-Lake,3550,Hamilton--Niagara Peninsula,539,1,539.0,35539.0,St. Catharines - Niagara,B,3526047.0,35.0,ON,26.0,Niagara,47.0,Niagara-on-the-Lake,17511.0,15400.0,13.7,7964.0,7089.0,131.8,132.81,49.6,14810.0,1865.0,3705.0,9240.0,475.0,4400.0,14810.0,14505.0,37208.0,16880.0,12405.0,4325.0
202,"thorold ,ON, Canada",-79.2005935,43.1249127,3526037,Thorold,CY,35,ON,3526,Niagara,RM,3526037,Thorold,3550,Hamilton--Niagara Peninsula,539,1,539.0,35539.0,St. Catharines - Niagara,B,3526037.0,35.0,ON,26.0,Niagara,37.0,Thorold,18801.0,17931.0,4.9,8498.0,7466.0,226.5,82.99,40.7,15635.0,3100.0,5165.0,7370.0,195.0,2345.0,15635.0,15055.0,30912.0,18550.0,15885.0,2375.0
203,"niagara ,ON, Canada",-79.3098089,43.0631891,3526028,Pelham,T,35,ON,3526,Niagara,RM,3526028,Pelham,3550,Hamilton--Niagara Peninsula,539,1,539.0,35539.0,St. Catharines - Niagara,B,3526028.0,35.0,ON,26.0,Niagara,28.0,Pelham,17110.0,16598.0,3.1,6596.0,6469.0,135.3,126.43,45.8,14180.0,1855.0,3535.0,8785.0,310.0,3875.0,14175.0,13740.0,41313.0,16670.0,14380.0,2190.0
204,"north bay ,ON, Canada",-79.4607617,46.3092115,3548044,North Bay,CY,35,ON,3548,Nipissing,DIS,3548094,"Nipissing, Unorganized, North Part",3590,Northeast / Nord-est,575,2,575.0,35575.0,North Bay,K,3548044.0,35.0,ON,48.0,Nipissing,44.0,North Bay,51553.0,53651.0,-3.9,24799.0,22614.0,161.6,319.11,42.7,42705.0,7955.0,11450.0,23300.0,570.0,7545.0,42720.0,41200.0,32292.0,50370.0,47545.0,2765.0
205,"norfolk ,ON, Canada",-80.4538365,42.7971532,3528052,Norfolk County,CY,35,ON,3528,Haldimand-Norfolk,CDR,3528052,Norfolk County,3550,Hamilton--Niagara Peninsula,547,3,547.0,35547.0,Norfolk,D,3528052.0,35.0,ON,28.0,Haldimand-Norfolk,52.0,Norfolk County,64044.0,63175.0,1.4,28720.0,26007.0,39.8,1607.55,44.5,52730.0,12725.0,15815.0,24195.0,785.0,5580.0,52730.0,51245.0,32301.0,62430.0,55260.0,6855.0
206,"oxford mills ,ON, Canada",-75.6781618,44.9654376,3507065,North Grenville,MU,35,ON,3507,Leeds and Grenville,UC,3507065,North Grenville,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3507065.0,35.0,ON,7.0,Leeds and Grenville,65.0,North Grenville,16451.0,15085.0,9.1,6658.0,6439.0,46.7,352.18,42.6,13570.0,1920.0,3745.0,7900.0,315.0,2715.0,13565.0,13000.0,43092.0,16245.0,15130.0,1090.0
207,"north grenville ,ON, Canada",-75.64483041,44.98584265,3507065,North Grenville,MU,35,ON,3507,Leeds and Grenville,UC,3507065,North Grenville,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3507065.0,35.0,ON,7.0,Leeds and Grenville,65.0,North Grenville,16451.0,15085.0,9.1,6658.0,6439.0,46.7,352.18,42.6,13570.0,1920.0,3745.0,7900.0,315.0,2715.0,13565.0,13000.0,43092.0,16245.0,15130.0,1090.0
208,"thessalon ,ON, Canada",-83.5483478,46.2638311,3557028,Thessalon,T,35,ON,3557,Algoma,DIS,3557035,Huron Shores,3590,Northeast / Nord-est,997,5,,,,,3557028.0,35.0,ON,57.0,Algoma,28.0,Thessalon,1286.0,1279.0,0.5,624.0,564.0,284.6,4.52,51.4,995.0,285.0,295.0,415.0,15.0,85.0,1025.0,995.0,30080.0,1175.0,1140.0,35.0
209,"north york ,ON, Canada",-79.44911697,43.7543263,3520005,Toronto,C,35,ON,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3520005.0,35.0,ON,20.0,Toronto,5.0,Toronto,2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
210,"kirkland lake ,ON, Canada",-80.031281,48.154177,3554068,Kirkland Lake,T,35,ON,3554,Timiskaming,DIS,3554094,"Timiskaming, Unorganized, West Part",3590,Northeast / Nord-est,998,6,,,,,3554068.0,35.0,ON,54.0,Timiskaming,68.0,Kirkland Lake,7981.0,8493.0,-6.0,4466.0,3814.0,30.4,262.13,43.8,6540.0,1860.0,1640.0,3035.0,85.0,625.0,6545.0,6295.0,31396.0,7745.0,7455.0,280.0
211,"cobourg ,ON, Canada",-78.1677784,43.9595998,3514021,Cobourg,T,35,ON,3514,Northumberland,CTY,3514019,Hamilton,3520,Muskoka--Kawarthas,527,3,527.0,35527.0,Cobourg,D,3514021.0,35.0,ON,14.0,Northumberland,21.0,Cobourg,19440.0,18519.0,5.0,8958.0,8639.0,869.3,22.36,49.1,16280.0,2775.0,5290.0,8220.0,275.0,2930.0,16280.0,15795.0,33590.0,18720.0,16210.0,2470.0
212,"port hope ,ON, Canada",-78.2939704,43.9515755,3514020,Port Hope,MU,35,ON,3514,Northumberland,CTY,3514020,Port Hope,3520,Muskoka--Kawarthas,528,3,528.0,35528.0,Port Hope,D,3514020.0,35.0,ON,14.0,Northumberland,20.0,Port Hope,16753.0,16214.0,3.3,7305.0,7075.0,60.1,278.87,46.6,14105.0,2365.0,4355.0,7390.0,270.0,2275.0,14105.0,13660.0,35206.0,16280.0,14490.0,1745.0
213,"colborne ,ON, Canada",-77.8879789,44.0050196,3514014,Cramahe,TP,35,ON,3514,Northumberland,CTY,3514014,Cramahe,3520,Muskoka--Kawarthas,996,4,,,,,3514014.0,35.0,ON,14.0,Northumberland,14.0,Cramahe,6355.0,6073.0,4.6,2780.0,2568.0,31.4,202.16,44.2,5435.0,1185.0,1750.0,2500.0,80.0,610.0,5435.0,5205.0,32640.0,6355.0,5710.0,635.0
214,"northumberland ,ON, Canada",-77.9872929,44.1096596,3514024,Alnwick/Haldimand,TP,35,ON,3514,Northumberland,CTY,3514024,Alnwick/Haldimand,3520,Muskoka--Kawarthas,996,4,,,,,3514024.0,35.0,ON,14.0,Northumberland,24.0,Alnwick/Haldimand,6869.0,6617.0,3.8,3064.0,2619.0,17.2,398.45,44.5,5810.0,975.0,1790.0,3045.0,80.0,830.0,5810.0,5590.0,36184.0,6820.0,6215.0,605.0
215,"timmins ,ON, Canada",-81.330414,48.477473,3556027,Timmins,CY,35,ON,3556,Cochrane,DIS,3556027,Timmins,3590,Northeast / Nord-est,586,3,586.0,35586.0,Timmins,D,3556027.0,35.0,ON,56.0,Cochrane,27.0,Timmins,41788.0,43165.0,-3.2,19317.0,17740.0,14.0,2978.83,40.5,34100.0,8595.0,9005.0,16505.0,450.0,3870.0,34100.0,33015.0,36426.0,41225.0,39750.0,1390.0
