,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2671,"elmvale ,ON, Canada",-79.8661611,44.5837294,3543009,Springwater,TP,35,Ontario,3543,Simcoe,CTY,3543009,Springwater,3540,Kitchener--Waterloo--Barrie,568,1,568,35568,Barrie,B
2140,"ottawa ,ON, Canada",-75.6901106,45.4208777,3506008,Ottawa,CV,35,Ontario,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2081,"embrun ,ON, Canada",-75.2749125,45.2742012,3502048,Russell,TP,35,Ontario,3502,Prescott and Russell,UC,3502048,Russell,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2566,"iroquois falls ,ON, Canada",-80.6770998,48.7672213,3556031,Iroquois Falls,T,35,Ontario,3556,Cochrane,DIS,3556092,"Cochrane, Unorganized, North Part",3590,Northeast / Nord-est,997,5,,,,
1824,"newmarket ,ON, Canada",-79.461708,44.056258,3519048,Newmarket,T,35,Ontario,3519,York,RM,3519048,Newmarket,3530,Toronto,535,1,535,35535,Toronto,B
2516,"erin ,ON, Canada",-80.070076,43.77506,3523017,Erin,T,35,Ontario,3523,Wellington,CTY,3523017,Erin,3540,Kitchener--Waterloo--Barrie,996,4,,,,
2392,"espanola ,ON, Canada",-81.769867,46.265341,3552026,Espanola,T,35,Ontario,3552,Sudbury,DIS,3552013,Markstay-Warren,3590,Northeast / Nord-est,997,5,,,,
1829,"etobicoke ,ON, Canada",-79.5656326,43.6435559,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
2614,"exeter ,ON, Canada",-81.4801081,43.3449871,3540005,South Huron,MU,35,Ontario,3540,Huron,CTY,3540005,South Huron,3580,Stratford--Bruce Peninsula,997,5,,,,
2517,"fergus ,ON, Canada",-80.3779366,43.7059439,3523025,Centre Wellington,TP,35,Ontario,3523,Wellington,CTY,3523025,Centre Wellington,3540,Kitchener--Waterloo--Barrie,531,3,531,35531,Centre Wellington,D
2517,"elora ,ON, Canada",-80.429581,43.681148,3523025,Centre Wellington,TP,35,Ontario,3523,Wellington,CTY,3523025,Centre Wellington,3540,Kitchener--Waterloo--Barrie,531,3,531,35531,Centre Wellington,D
