AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvID,AdvID2,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner
ancaster news,12817.0,1.7,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,6,5,12817.0,1.7,335.0,1160.0,ancaster news,both,,,
ancaster news,12872.0,1.85,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Thursday,6,5,12872.0,1.85,1160.0,1160.0,ancaster news,both,,,
ancaster news,12927.0,1.85,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,6,5,12927.0,1.85,1160.0,1160.0,ancaster news,both,,,
ancaster news,12712.0,1.85,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,6,5,12712.0,1.85,,1160.0,ancaster news,both,,,
ancaster news,12876.0,1.85,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,6,5,12876.0,1.85,,1160.0,ancaster news,both,,,
ancaster news,13040.0,1.85,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,6,5,13040.0,1.85,,1160.0,ancaster news,both,,,
ancaster news,13075.0,1.85,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,6,5,13075.0,1.85,,1160.0,ancaster news,both,,,
arnprior chronicle guide,7607.0,1.06,335.0,1160.0,6.0,218.0,5.0,2013,2012,1,Thursday,7,6,7607.0,1.06,335.0,1160.0,arnprior chronicle guide,both,,,
arnprior chronicle guide,7740.0,0.74,1160.0,1160.0,10.0,189.0,10,2014,2012,2,Thursday,7,6,7740.0,0.74,1160.0,1160.0,arnprior chronicle guide,both,,,
arnprior chronicle guide,7873.0,0.87,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,7,6,7873.0,0.87,1160.0,1160.0,arnprior chronicle guide,both,,,
arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,7,6,,0.87,,1160.0,arnprior chronicle guide,both,,,
arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,7,6,,0.87,,1160.0,arnprior chronicle guide,both,,,
arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,7,6,,0.87,,1160.0,arnprior chronicle guide,both,,,
arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2019,2017,2,Thursday,7,6,,0.87,,1160.0,arnprior chronicle guide,both,,,
arthur enterprise news,575.0,0.86,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Friday,8,7,575.0,0.86,335.0,1160.0,arthur enterprise news,both,,,
arthur enterprise news,,0.93,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Wednesday,9,7,,0.93,1160.0,1160.0,arthur enterprise news,both,,,
arthur enterprise news,355.0,0.93,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Wednesday,9,7,355.0,0.93,1160.0,1160.0,arthur enterprise news,both,,,
arthur enterprise news,,0.93,,1160.0,10.0,161.0,10.0,2016,2014,2,Wednesday,9,7,,0.93,,1160.0,arthur enterprise news,both,,,
arthur enterprise news,,0.93,,1160.0,10.0,161.0,10.0,2017,2015,2,Wednesday,9,7,,0.93,,1160.0,arthur enterprise news,both,,,
atikokan progress,1391.0,0.79,165.0,471.0,5.0,210.0,4.0,2013,2012,1,Monday,10,8,1391.0,0.79,165.0,471.0,atikokan progress,both,,,
atikokan progress,1350.0,0.82,165.0,471.0,5.0,210.0,4,2014,2013,1,Monday,10,8,1350.0,0.82,165.0,471.0,atikokan progress,both,,,
atikokan progress,1260.0,0.86,165.0,471.0,5.0,210.0,4.0,2015,2014,1,Monday,10,8,1260.0,0.86,165.0,471.0,atikokan progress,both,,,
atikokan progress,1193.0,0.86,,471.0,5.0,210.0,4.0,2016,2015,1,Monday,10,8,1193.0,0.86,,471.0,atikokan progress,both,,,
atikokan progress,1113.0,0.88,,471.0,5.0,210.0,4.0,2017,2016,1,Monday,10,8,1113.0,0.88,,471.0,atikokan progress,both,,,
atikokan progress,1081.0,0.88,,471.0,5.0,210.0,4.0,2018,2017,1,Monday,10,8,1081.0,0.88,,471.0,atikokan progress,both,,,
atikokan progress,1041.0,0.88,,471.0,5.0,210.0,4.0,2019,2018,1,Monday,10,8,1041.0,0.88,,471.0,atikokan progress,both,,,
aurora the auroran,,0.57,88.0,176.0,8.0,301.0,,2014,2012,2,Thursday,11,9,,0.57,88.0,176.0,aurora the auroran,both,,,
aurora the auroran,19427.0,0.57,88.0,176.0,8.0,301.0,,2015,2014,1,Thursday,11,9,19427.0,0.57,88.0,176.0,aurora the auroran,both,,,
aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2016,2014,2,Thursday,11,9,,0.57,,176.0,aurora the auroran,both,,,
aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2017,2015,2,Thursday,11,9,,0.57,,176.0,aurora the auroran,both,,,
aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2018,2015,3,Thursday,11,9,,0.57,,176.0,aurora the auroran,both,,,
aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2019,2015,4,Thursday,11,9,,0.57,,176.0,aurora the auroran,both,,,
aurora the auroran,19284.0,1.24,88.0,194.0,6.0,220.0,5.0,2013,2012,1,Tuesday,12,9,19284.0,1.24,88.0,194.0,aurora the auroran,both,,,
aylmer express,3516.0,0.75,118.0,294.0,8.0,294.0,2.0,2013,2012,1,Wednesday,13,10,3516.0,0.75,118.0,294.0,aylmer express,both,,,
aylmer express,3376.0,0.77,118.0,294.0,8.0,294.0,2,2014,2013,1,Wednesday,13,10,3376.0,0.77,118.0,294.0,aylmer express,both,,,
aylmer express,,0.78,118.0,294.0,8.0,294.0,2.0,2015,2013,2,Wednesday,13,10,,0.78,118.0,294.0,aylmer express,both,,,
aylmer express,,0.79,,294.0,8.0,294.0,2.0,2016,2013,3,Wednesday,13,10,,0.79,,294.0,aylmer express,both,,,
aylmer express,,0.8,,294.0,8.0,294.0,2.0,2017,2014,3,Wednesday,13,10,,0.8,,294.0,aylmer express,both,,,
aylmer express,,0.81,,294.0,8.0,294.0,2.0,2018,2016,2,Wednesday,13,10,,0.81,,294.0,aylmer express,both,,,
aylmer express,,0.81,,294.0,8.0,294.0,2.0,2019,2016,3,Wednesday,13,10,,0.81,,294.0,aylmer express,both,,,
ayr news,3204.0,0.77,118.0,412.0,6.0,294.0,1.0,2013,2012,1,Wednesday,14,11,3204.0,0.77,118.0,412.0,ayr news,both,,,
ayr news,3209.0,0.77,118.0,412.0,6.0,294.0,1,2014,2013,1,Wednesday,14,11,3209.0,0.77,118.0,412.0,ayr news,both,,,
ayr news,3099.0,0.77,118.0,412.0,6.0,294.0,1.0,2015,2014,1,Wednesday,14,11,3099.0,0.77,118.0,412.0,ayr news,both,,,
ayr news,3082.0,0.77,,412.0,6.0,294.0,1.0,2016,2015,1,Wednesday,14,11,3082.0,0.77,,412.0,ayr news,both,,,
ayr news,2978.5,1.4,,412.0,5.0,193.0,4.0,2017,2015,2,Wednesday,14,11,2978.5,1.4,,412.0,ayr news,both,,,
ayr news,2875.0,1.4,,412.0,5.0,193.0,4.0,2018,2017,1,Wednesday,14,11,2875.0,1.4,,412.0,ayr news,both,,,
ayr news,2747.0,1.4,,412.0,5.0,193.0,4.0,2019,2018,1,Wednesday,14,11,2747.0,1.4,,412.0,ayr news,both,,,
bancroft this week,7429.0,0.97,176.0,176.0,9.0,157.0,3.0,2013,2012,1,Friday,15,12,7429.0,0.97,176.0,176.0,bancroft this week,both,,,
bancroft this week,,0.97,176.0,176.0,9.0,160.0,3,2014,2012,2,Friday,15,12,,0.97,176.0,176.0,bancroft this week,both,,,
bancroft this week,,0.82,176.0,176.0,9.0,189.0,3.0,2015,2013,2,Friday,15,12,,0.82,176.0,176.0,bancroft this week,both,,,
bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2016,2014,2,Friday,15,12,,0.82,,235.0,bancroft this week,both,,,
bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2017,2015,2,Friday,15,12,,0.82,,235.0,bancroft this week,both,,,
bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2018,2015,3,Friday,15,12,,0.82,,235.0,bancroft this week,both,,,
bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2019,2015,4,Friday,15,12,,0.82,,235.0,bancroft this week,both,,,
bancroft times,3840.0,0.66,188.0,565.0,6.0,294.0,1.0,2013,2012,1,Thursday,16,13,3840.0,0.66,188.0,565.0,bancroft times,both,,,
bancroft times,3485.5,0.66,188.0,565.0,6.0,294.0,1,2014,2012,2,Thursday,16,13,3485.5,0.66,188.0,565.0,bancroft times,both,,,
bancroft times,3131.0,0.66,188.0,565.0,6.0,294.0,1.0,2015,2014,1,Thursday,16,13,3131.0,0.66,188.0,565.0,bancroft times,both,,,
bancroft times,,0.66,,565.0,6.0,294.0,1.0,2016,2014,2,Thursday,16,13,,0.66,,565.0,bancroft times,both,,,
bancroft times,,0.66,,565.0,6.0,294.0,1.0,2017,2015,2,Thursday,16,13,,0.66,,565.0,bancroft times,both,,,
bancroft times,,0.66,,565.0,6.0,294.0,1.0,2018,2016,2,Thursday,16,13,,0.66,,565.0,bancroft times,both,,,
bancroft times,,0.54,,176.0,8.0,301.0,9.0,2019,2017,2,Wednesday,17,13,,0.54,,176.0,bancroft times,both,,,
barrhaven independent,,0.65,176.0,353.0,6.0,220.0,5.0,2015,0,2015,Friday,18,14,,0.65,176.0,353.0,barrhaven independent,both,,,
barrhaven independent,,0.75,,353.0,6.0,220.0,5.0,2016,0,2016,Friday,18,14,,0.75,,353.0,barrhaven independent,both,,,
barrhaven independent,,0.85,,353.0,6.0,220.0,5.0,2017,0,2017,Friday,18,14,,0.85,,353.0,barrhaven independent,both,,,
