,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs,postmedia,metroland,MetrolandOrPostmedia,Unnamed: 0,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,Population,PopulationGrowth,Age,Income,Education,NofID2,FreeCirculation_Sum_Others,TotalCirculation_Sum_Others,PaidCirculation_Sum_Others,FreeCirculation_Sum_PM,TotalCirculatinn_Sum_PM,PaidCirculation_Sum_PM,PMShare,PMNofID2,MeanMarketRate,PMMeanMarketRate,MeanCirc,PMMeanCirc,mean_MeanMarketRate_before_2017,mean_PMMeanMarketRate_before_2017,mean_NofID2_before_2017,mean_PMNofID2_before_2017,mean_MeanMarketRate_after_2017,mean_PMMeanMarketRate_after_2017,mean_NofID2_after_2017,mean_PMNofID2_after_2017,MeanMarketRate_2013,MeanMarketRate_2014,MeanMarketRate_2015,MeanMarketRate_2016,MeanMarketRate_2017,MeanMarketRate_2018,MeanMarketRate_2019,PMMeanMarketRate_2013,PMMeanMarketRate_2014,PMMeanMarketRate_2015,PMMeanMarketRate_2016,PMMeanMarketRate_2017,PMMeanMarketRate_2018,PMMeanMarketRate_2019,PMMeanMarketRate_PreTrend,MeanMarketRate_PreTrend,PMMeanMarketRate_PostTrend,MeanMarketRate_PostTrend,TMarket
608,kingston frontenac this week,49707.0,3.99,,429.0,9.0,160.0,3.0,2016,2015.0,1.0,Thursday,49707.0,3.99,,429.0,kingston frontenac this week,both,,[nan],,Thursday,48840.0,T,kingston&frontenac,kingston frontenac this week,sun media corporation,0.0,ON,48840.0,postmedia network inc.,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']","[(44.230687, -76.481323), (44.6102902, -76.6330415)]",,,,,,0.0,kingston frontenac,0.0,0.0,1,Kingston,2013.0,0.0,48840.0,0.0,48840.0,Thursday,perfect_match,226,168,0,1,0,1,1,1,0,0,1,0,1,"['Frontenac', 'Frontenac']",1,0,1,2178,3510010,35,ON,10,Frontenac,10,Kingston,11.727213925436908,4.609162207257629,4.957937505095806,10.466924601573329,10.255024318618737,3,0.0,0.0,0.0,94901.0,94901.0,0.0,1.0,2.0,2.575,2.575,47450.5,47450.5,2.5831818181818185,2.9254545454545453,2.8181818181818183,2.0,3.99,3.99,2.0,1.0,2.665,2.4850000000000003,2.575,2.575,2.575,3.99,3.99,3.92,2.4850000000000003,2.575,2.575,2.575,3.99,3.99,-0.25999999999999984,-0.008999999999999958,0.7074999999999996,0.7074999999999996,1
609,kingston frontenac this week,48840.0,3.99,,429.0,9.0,160.0,3.0,2017,2016.0,1.0,Thursday,48840.0,3.99,,429.0,kingston frontenac this week,both,,[nan],,Thursday,48741.0,T,kingston&frontenac,kingston frontenac this week,postmedia network inc.,0.0,ON,48741.0,postmedia network inc.,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']","[(44.230687, -76.481323), (44.6102902, -76.6330415)]",,,,,,0.0,kingston frontenac,0.0,0.0,1,Kingston,2013.0,0.0,48741.0,0.0,48741.0,Thursday,perfect_match,226,168,0,1,0,1,1,1,0,0,1,0,1,"['Frontenac', 'Frontenac']",1,0,1,2178,3510010,35,ON,10,Frontenac,10,Kingston,11.727213925436908,4.609162207257629,4.957937505095806,10.466924601573329,10.255024318618737,3,0.0,0.0,0.0,94188.0,94188.0,0.0,1.0,2.0,2.575,2.575,47094.0,47094.0,2.5831818181818185,2.9254545454545453,2.8181818181818183,2.0,3.99,3.99,2.0,1.0,2.665,2.4850000000000003,2.575,2.575,2.575,3.99,3.99,3.92,2.4850000000000003,2.575,2.575,2.575,3.99,3.99,-0.25999999999999984,-0.008999999999999958,0.7074999999999996,0.7074999999999996,1
610,kingston frontenac this week,,3.99,,429.0,10.0,160.0,10.0,2018,2016.0,2.0,Thursday,,3.99,,429.0,kingston frontenac this week,both,,[nan],,Thursday,,T,kingston&frontenac,kingston frontenac this week,postmedia network inc.,0.0,ON,,postmedia network inc.,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']","[(44.230687, -76.481323), (44.6102902, -76.6330415)]",,,,,,0.0,kingston frontenac,0.0,0.0,1,Kingston,2013.0,1.0,,0.0,,Thursday,perfect_match,226,168,0,1,0,1,1,1,0,0,1,0,1,"['Frontenac', 'Frontenac']",1,0,1,2178,3510010,35,ON,10,Frontenac,10,Kingston,11.727213925436908,4.609162207257629,4.957937505095806,10.466924601573329,10.255024318618737,2,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.99,3.99,,,2.5831818181818185,2.9254545454545453,2.8181818181818183,2.0,3.99,3.99,2.0,1.0,2.665,2.4850000000000003,2.575,2.575,2.575,3.99,3.99,3.92,2.4850000000000003,2.575,2.575,2.575,3.99,3.99,-0.25999999999999984,-0.008999999999999958,0.7074999999999996,0.7074999999999996,1
611,kingston frontenac this week,,3.99,,429.0,10.0,160.0,10.0,2019,2016.0,3.0,Thursday,,3.99,,429.0,kingston frontenac this week,both,,[nan],,Thursday,,T,kingston&frontenac,kingston frontenac this week,postmedia network inc.,0.0,ON,,postmedia network inc.,"['kingston ,ON, Canada', 'frontenac ,ON, Canada']","[(44.230687, -76.481323), (44.6102902, -76.6330415)]",,,,,,0.0,kingston frontenac,0.0,0.0,1,Kingston,2013.0,1.0,,0.0,,Thursday,perfect_match,226,168,0,1,0,1,1,1,0,0,1,0,1,"['Frontenac', 'Frontenac']",1,0,1,2178,3510010,35,ON,10,Frontenac,10,Kingston,11.727213925436908,4.609162207257629,4.957937505095806,10.466924601573329,10.255024318618737,2,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.99,3.99,,,2.5831818181818185,2.9254545454545453,2.8181818181818183,2.0,3.99,3.99,2.0,1.0,2.665,2.4850000000000003,2.575,2.575,2.575,3.99,3.99,3.92,2.4850000000000003,2.575,2.575,2.575,3.99,3.99,-0.25999999999999984,-0.008999999999999958,0.7074999999999996,0.7074999999999996,1
684,london community news,,2.15,335.0,1160.0,10.0,175.0,10.0,2013,0.0,2013.0,Thursday,,2.15,335.0,1160.0,london community news,both,,[nan],,Thursday,132000.0,B,london,london community news,metroland media group ltd.,0.0,ON,132000.0,metroland media group ltd.,"['london ,ON, Canada']","[(42.9832406, -81.243372)]",,,,,,0.0,london,0.0,0.0,1,London,2013.0,0.0,132000.0,0.0,132000.0,Thursday,perfect_match,247,183,0,1,0,1,0,0,0,0,0,0,0,['Middlesex'],0,1,1,2350,3539036,35,ON,39,Middlesex,36,London,12.858194685937187,4.6520537718869415,4.945207488773801,10.39509977537798,11.293213518957714,4,2812.0,4460.0,1648.0,272428.0,272428.0,0.0,0.98389240414897,2.0,2.545,2.545,69222.0,136214.0,2.5408333333333335,2.5408333333333335,4.555555555555555,2.0,2.35,2.35,5.0,1.0,2.545,2.645,2.645,2.35,2.35,2.35,2.35,2.545,2.645,2.645,2.35,2.35,2.35,2.35,-0.06849999999999982,-0.06849999999999982,-2.220446049250313e-16,-2.220446049250313e-16,1
685,london community news,,2.35,1160.0,1160.0,10.0,161.0,10,2014,0.0,2014.0,Thursday,,2.35,1160.0,1160.0,london community news,both,,[nan],,Thursday,129642.0,B,london,london community news,metroland media group ltd.,0.0,ON,129642.0,metroland media group ltd.,"['london ,ON, Canada']","[(42.9832406, -81.243372)]",,,,,,0.0,london,0.0,0.0,1,London,2013.0,0.0,129642.0,0.0,129642.0,Thursday,perfect_match,247,183,0,1,0,1,0,0,0,0,0,0,0,['Middlesex'],0,1,1,2350,3539036,35,ON,39,Middlesex,36,London,12.858194685937187,4.6520537718869415,4.945207488773801,10.39509977537798,11.293213518857714,4,0.0,0.0,0.0,270242.0,270242.0,0.0,1.0,2.0,2.645,2.645,135121.0,135121.0,2.5408333333333335,2.5408333333333335,4.555555555555555,2.0,2.35,2.35,5.0,1.0,2.545,2.645,2.645,2.35,2.35,2.35,2.35,2.545,2.645,2.645,2.35,2.35,2.35,2.35,-0.06849999999999982,-0.06849999999999982,-2.220446049250313e-16,-2.220446049250313e-16,1
686,london community news,129642.0,2.35,1160.0,1160.0,10.0,161.0,10.0,2015,2014.0,1.0,Thursday,129642.0,2.35,1160.0,1160.0,london community news,both,,[nan],,Thursday,,B,london,london community news,metroland media group ltd.,0.0,ON,,metroland media group ltd.,"['london ,ON, Canada']","[(42.9832406, -81.243372)]",,,,,,0.0,london,0.0,0.0,1,London,2013.0,1.0,,0.0,,Thursday,perfect_match,247,183,0,1,0,1,0,0,0,0,0,0,0,['Middlesex'],0,1,1,2350,3539036,35,ON,39,Middlesex,36,London,12.858194685937187,4.6520537718869415,4.945207488773801,10.39509977537798,11.293213518957714,5,2500.0,2500.0,0.0,140615.0,140615.0,0.0,0.9825315305872899,2.0,2.645,2.645,75307.5,140615.0,2.5408333333333335,2.5408333333233335,4.555555555555555,2.0,2.35,2.35,5.0,1.0,2.545,2.645,2.645,2.35,2.35,2.35,2.35,2.545,2.645,2.645,2.35,2.35,2.35,2.35,-0.06849999999999982,-0.06849999999999982,-2.220446049250313e-16,-2.220446049250313e-16,1
687,,,,,,,,,2016,,,,,,,,london observateur l,,,[nan],,Tuesday,,T,london,observateur l,l'observateur (london),0.0,ON,,l'observateur (london),"['london ,ON, Canada']","[(42.9832406, -81.243372)]",,,,,,0.0,london,0.0,0.0,1,London,2013.0,1.0,,0.0,,Tuesday,right_only,248,184,0,1,0,1,1,1,0,0,0,0,1,['Middlesex'],0,0,0,2350,3539036,35,ON,39,Middlesex,36,London,12.858194685937187,4.6520537718869415,4.945207488773801,10.39509977537798,11.293213518957714,5,0.0,0.0,0.0,269753.0,269753.0,0.0,1.0,2.0,2.35,2.35,134876.5,134876.5,2.5408333333333335,2.5408333333333335,4.555555555555555,2.0,2.35,2.35,5.0,1.0,2.545,2.645,2.645,2.35,2.35,2.35,2.35,2.545,2.645,2.645,2.35,2.35,2.35,2.35,-0.06849999999999982,-0.06849999999999982,-2.220446049250313e-16,-2.220446049250313e-16,1
688,,,,,,,,,2017,,,,,,,,london observateur l,,,[nan],,Tuesday,,T,london,observateur l,l'observateur (london),0.0,ON,,l'observateur (london),"['london ,ON, Canada']","[(42.9832406, -81.243372)]",,,,,,0.0,london,0.0,0.0,1,London,2013.0,1.0,,0.0,,Tuesday,right_only,248,184,0,1,0,1,1,1,0,0,0,0,1,['Middlesex'],0,0,0,2350,3539036,35,ON,39,Middlesex,36,London,12.858194685937187,4.6520537718869415,4.945207488773801,10.39509977537798,11.293213518957714,5,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.35,2.35,,,2.5408333333333335,2.5408333333333335,4.555555555555555,2.0,2.35,2.35,5.0,1.0,2.545,2.645,2.645,2.35,2.35,2.35,2.35,2.545,2.645,2.645,2.35,2.35,2.35,2.35,-0.06849999999999982,-0.06849999999999982,-2.220446049250313e-16,-2.220446049250313e-16,1
689,,,,,,,,,2018,,,,,,,,london observateur l,,,[nan],,Tuesday,,T,london,observateur l,l'observateur (london),0.0,ON,,l'observateur (london),"['london ,ON, Canada']","[(42.9832406, -81.243372)]",,,,,,0.0,london,0.0,0.0,1,London,2013.0,1.0,,0.0,,Tuesday,right_only,248,184,0,1,0,1,1,1,0,0,0,0,1,['Middlesex'],0,0,0,2350,3539036,35,ON,38,Middlesex,36,London,12.858194685937187,4.6520537718869415,4.945207488773801,10.39509977537798,11.293213518957714,5,41000.0,41000.0,0.0,0.0,0.0,0.0,0.0,1.0,2.35,2.35,41000.0,,2.5408333333333335,2.5408333333333335,4.555555555555555,2.0,2.35,2.35,5.0,1.0,2.545,2.645,2.645,2.35,2.35,2.35,2.35,2.545,2.645,2.645,2.35,2.35,2.35,2.35,-0.06849999999999982,-0.06849999999999982,-2.220446049250313e-16,-2.220446049250313e-16,1
