,CSD,Mean_Average_Difference_Adv,closest_CSD,Mean_Average_Difference_Adv_closest_CSD
0,Kingston,0.0,Sarnia,-0.07499999999999996
1,South Frontenac,0.0,Kenora,0.0
2,Belleville,2.220446049250313e-16,Chatham-Kent,0.04416666666666669
3,Quinte West,0.0,Strathroy-Caradoc,-0.03000000000000025
4,Norfolk County,0.03333333333333344,Sault Ste. Marie,0.1425000000000003
5,Brantford,0.07000000000000028,Chatham-Kent,0.04416666666666669
6,Stratford,,Kingsville,0.10000000000000009
7,London,-0.19666666666666677,Windsor,0.18666666666666676
